Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,268.43,0.0,249.88,0.0,0.0,66.34,0.0
2005,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,362.94,0.0,329.34000000000003,0.0,0.0,99.27,0.0
2006,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,483.32,0.0,433.01,0.0,0.0,130.1,0.0
2007,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,562.31,0.0,492.2,0.0,0.0,151.04,0.02
2008,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,679.93,0.0,587.69,0.0,0.0,206.91,0.01
2009,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,637.4,0.0,592.02,0.0,0.0,186.55,0.02
2010,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,704.49,0.0,649.31,0.0,0.0,233.27,11.12
2011,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,986.0,0.0,890.21,0.0,-2.33,272.63,0.17
2012,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,1141.74,0.0,1060.26,0.0,-2.75,285.91,0.09
2013,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,1320.57,0.0,1240.87,0.0,-3.16,335.04,0.09
2014,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,1569.49,0.0,1499.68,0.0,-3.95,423.08,0.19
2015,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,1790.21,0.0,1695.27,0.0,-2.1,540.55,8.69
2016,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,2297.09,0.0,2229.14,0.0,-4.91,508.49,15.17
2017,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,2386.68,0.0,2323.26,0.0,-4.45,737.98,8.91
2018,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,2214.93,0.0,2139.08,0.0,-4.3100000000000005,690.23,0.0
2019,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,1988.38,0.0,1816.2199999999998,0.0,0.0,872.21,0.0
2020,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,2422.48,0.0,2224.64,0.0,-22.62,1207.3,0.0
2021,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,2905.1,0.0,2636.71,10.12,-16.03,1184.24,0.0
2022,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,3337.86,0.0,2953.8,9.41,-17.77,1399.76,0.0
2023,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,4068.99,0.0,3645.1,8.16,-39.42,1813.99,0.0
2024,REJLb.ST,STX,Rejlers AB (publ),Professional & Commercial Services,Industrials,4506.01,0.0,4012.87,10.98,-40.17,1991.22,0.0
