Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
1997,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6.68,7.04,0.1,0.0,0.0,446.69,0.0
1998,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,139.2,152.61,0.23,0.0,0.04,514.88,0.0
1999,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,62.5,65.48,2.05,0.0,0.34,445.7,0.0
2000,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,95.84,97.45,5.04,0.0,0.0,436.5,0.0
2001,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,117.62,125.38,3.56,0.0,0.0,399.48,0.0
2002,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,59.93,74.65,3.32,0.0,0.0,345.95,0.0
2003,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,114.63,104.75,3.2,0.0,0.0,407.71,0.0
2004,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,60.4,0.0,2.88,0.0,0.0,466.1,0.0
2005,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,17.85,0.0,3.78,0.0,18.32,466.28,0.0
2006,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,81.08,0.23,4.35,0.0,26.68,497.38,0.0
2007,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,532.34,358.16,56.46,0.0,31.04,473.14,0.0
2008,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,960.65,738.95,124.74,0.0,35.48,486.18,0.0
2009,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,603.01,413.73,129.47,0.0,26.28,364.87,0.0
2010,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,667.62,549.93,124.46,0.0,21.36,259.85,0.0
2011,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,801.28,651.82,120.54,0.0,27.88,104.85,0.0
2012,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,793.97,583.27,131.36,0.0,14.36,64.73,0.0
2013,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,648.36,477.58,103.36,0.0,25.08,62.17,0.0
2014,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,669.35,488.46,106.97,0.0,22.02,85.2,0.0
2015,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,756.58,558.39,127.76,0.0,20.12,55.94,0.0
2016,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,938.48,667.25,132.03,0.0,30.58,70.13,0.0
2017,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1034.53,771.95,138.43,0.0,37.06,105.92,0.0
2018,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,996.8,763.31,196.47,0.0,26.92,80.95,0.0
2019,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,959.66,761.48,162.84,0.0,30.46,68.52,0.0
2020,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1291.46,963.14,225.75,0.0,39.42,115.93,0.0
2021,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1607.01,1209.9,259.02,0.0,44.32,101.02,0.0
2022,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2047.62,1594.37,279.83,0.0,29.76,222.79,0.0
2023,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1044.79,722.69,202.85,0.0,19.3,617.47,0.0
2024,REKA.HE,HEX,Reka Industrial Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,315.66,167.08,128.57,0.0,9.64,506.36,0.0
