Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2161.91,1325.96,1013.96,0.0,6.42,1528.09,0.0,-0.12069315289020949
2005,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2098.01,1245.51,919.88,0.0,12.96,1293.27,0.0,-0.06212159873808236
2006,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2340.75,1368.77,924.12,0.0,20.01,1277.46,0.0,0.021801074006231123
2007,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2536.97,1611.28,982.02,0.0,28.6,883.05,0.0,-0.09617801936470206
2008,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2277.7,1494.23,903.21,0.0,37.63,720.27,0.0,-0.21848751162758442
2009,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1241.08,725.06,533.31,0.0,22.22,881.12,0.0,-0.04484065734519698
2010,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1414.24,807.06,499.69,0.0,5.04,1065.48,0.0,0.09615384615384621
2011,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1306.77,864.56,569.1700000000001,0.0,3.45,879.86,0.0,-0.14821676175755236
2012,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1234.99,785.51,450.33,0.0,4.3,850.04,0.0,-0.00605853842172129
2013,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1253.6,809.56,499.09,0.0,3.61,777.53,0.0,-0.07544403431378856
2014,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1421.05,778.04,525.4300000000001,0.0,3.67,934.54,0.0,0.12188884370920446
2015,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1716.21,859.54,610.95,0.0,4.78,1107.26,0.0,0.2176002023011759
2016,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1698.78,865.1,668.72,0.0,8.84,1091.51,0.0,0.14303121363982
2017,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1851.48,934.45,744.66,0.0,10.65,1207.78,0.0,0.1338985576843465
2018,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2116.42,1134.06,718.27,0.0,18.73,1424.76,0.0,0.172211460175749
2019,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2211.07,1138.1,743.54,0.0,19.54,1293.97,0.0,0.23948777792375422
2020,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2142.15,1228.18,817.77,0.0,19.45,1358.51,0.0,0.056495719575122776
2021,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2308.08,1127.48,794.75,0.0,22.05,1487.72,0.0,0.24453526201166878
2022,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2831.43,1344.45,955.84,0.0,4.75,2123.49,0.0,0.24788908824623607
2023,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2741.99,1653.15,881.81,0.0,9.95,1870.57,0.0,0.10535825978177762
2024,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,2756.06,1825.51,942.76,0.0,10.17,1738.51,0.0,-0.012873092475740743
