Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2011,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,0.0,0.0,10.56,0.0,0.0,179.27,15.37,-0.05425400739827373
2012,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,6.93,0.0,11.17,0.0,0.0,222.94,59.64,-0.015004600467124356
2013,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,16.86,0.0,23.91,0.0,0.0,81.73,0.01,-0.0862490824565696
2014,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,124.47,51.35,61.53999999999999,0.0,0.0,113.58,18.02,0.08799392097264448
2015,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,394.3,171.05,190.36,0.0,2.68,492.83,27.11,0.05810285802207945
2016,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,761.51,315.8,341.62,0.0,2.75,405.5,31.39,0.23195770102314078
2017,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,1012.02,451.54,446.02,0.0,0.0,973.83,33.22,0.11365870612184105
2018,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,1401.14,622.0,634.17,0.0,1.78,1062.32,31.91,0.13085914295897585
2019,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,1698.69,670.39,772.48,0.0,27.73,1146.48,33.57,0.1932884199822043
2020,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,2137.03,845.29,905.17,0.0,36.63,1791.33,41.98,0.1908787930028202
2021,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,2724.9,1155.14,1085.79,0.0,51.52,2459.47,4.58,0.175503743836367
2022,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,3330.45,1318.33,1272.53,0.0,76.97000000000001,3310.52,4.52,0.19988295767170228
2023,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,4560.36,1844.25,1646.19,0.0,171.19,3978.73,5.03,0.22559842962427443
2024,SDIPb.ST,Sdiptech AB (publ),Consumer Goods Conglomerates,Other,5253.81,2102.13,1946.53,0.0,209.5,4569.89,6.17,0.21757800378491546
