Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,26.88,0.0,0.0,0.0,0.31,0.47,0.0,56.53191489361703
2016,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,31.57,0.0,0.0,0.0,0.57,1.2,0.0,25.833333333333336
2017,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,39.15,0.0,0.0,0.0,1.78,116.48,0.0,0.32082760989010983
2018,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,54.22,0.0,0.0,0.0,0.0,212.55,0.0,0.2550929193131028
2019,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,66.67,0.0,0.0,0.0,0.01,533.89,0.0,0.12485718031804303
2020,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,145.1,54.11,112.86,8.04,0.3,575.45,0.0,-0.024554696324615516
2021,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,159.5,52.56,168.39,19.75,0.4599999999999999,1073.13,0.0,-0.03928694566361949
2022,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,116.74,34.96,180.42,18.95,0.4599999999999999,968.71,0.0,-0.08273890018684642
2023,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,153.14,44.67,174.72,20.71,0.38,976.56,0.0,-0.047022200376832975
2024,SEDANA.ST,Sedana Medical AB (publ),Healthcare Equipment & Supplies,Health Care,181.79,53.51,179.89999999999998,20.64,0.35,985.15,0.0,-0.03180226361467796
