Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2013,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,414.8,0.0,162.11,0.0,33.27,-146.36,0.0,-1.4991801038535117
2014,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,559.23,0.0,159.06,0.0,30.29,-117.73,0.0,-3.141765055635777
2015,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,776.08,0.0,176.17000000000002,0.0,18.17,34.63,4.62,14.821401273885353
2016,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,2295.12,0.0,534.88,0.0,7.92,814.7,5.6,2.1361940753382904
2017,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,2961.28,0.0,575.46,0.0,17.35,1494.37,1.15,1.583710013908206
2018,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,3733.36,2789.03,717.78,0.0,20.95,1623.13,0.89,0.1265994261154419
2019,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,4686.0,3388.67,912.24,0.0,26.79,1873.38,0.66,0.19119122323963195
2020,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,8211.71,5977.18,1776.33,0.0,38.61,7844.02,0.63,0.053487408616063034
2021,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,16212.93,12271.38,3399.47,0.0,59.69,33176.78,0.66,0.014539699265525046
2022,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,26339.91,17969.14,6670.97,0.0,372.46,32408.7,0.94,0.04095509854475397
2023,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,28609.22,19113.29,7294.380000000001,0.0,669.8199999999999,33890.72,1.01,0.0451948012096166
2024,SINCH.ST,Sinch AB (publ),Software & IT Services,Information Technology,29200.03,19349.39,8064.8,0.0,538.0,29840.48,1.03,0.04181557836718046
