Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB
2004,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,491.91,0.0,0.0,0.0,0.0,955.55,0.0
2005,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,556.87,0.0,0.0,0.0,0.0,655.97,0.0
2006,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,596.16,0.0,0.0,0.0,0.0,338.14,0.0
2007,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,682.16,551.32,0.0,0.4,0.0,270.75,0.0
2008,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,812.55,685.41,122.51,0.79,0.0,283.18,0.0
2009,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,486.11,0.0,0.0,0.0,0.0,169.41,0.0
2010,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,340.17,0.0,0.0,0.14,0.0,98.75,0.0
2011,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,348.5,268.37,61.38,0.34,0.0,68.19,0.0
2012,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,354.58,279.48,63.15,0.52,0.0,72.41,0.0
2013,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,361.81,285.68,75.83,0.0,0.0,86.66,0.0
2014,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,396.46,305.33,81.21000000000001,0.0,0.0,85.61,0.0
2015,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,382.77,276.85,82.75999999999999,0.0,-4.18,109.08,0.0
2016,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,384.38,279.19,82.66,0.0,-1.76,125.16,0.0
2017,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,439.57,334.43,77.46000000000001,0.0,-1.27,126.6,0.0
2018,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,437.14,334.57,82.41,0.0,-1.82,144.71,0.0
2019,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,467.11,353.57,88.91,0.0,-1.45,163.94,0.0
2020,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,483.35,371.31,88.87,0.0,-1.63,179.17,0.0
2021,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,497.07,370.78,96.99,0.0,-1.8699999999999999,178.06,0.0
2022,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,322.38,229.43,64.27000000000001,0.0,-1.56,206.13,0.0
2023,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,380.05,265.59,75.9,0.0,-3.24,322.72,0.0
2024,SKAKO.CO,COX,Skako A/S,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,369.98,256.41,79.4,0.0,-3.5,137.74,0.0
