Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1995,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,86622.81,0.0,66020.94,0.0,0.0,40972.2,1539.09,0.48462114417134833
1996,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,76827.07,0.0,63820.59,0.0,0.0,42664.04,1582.24,0.2939564636846309
1997,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,79888.1,0.0,65936.85,0.0,0.0,44656.36,2203.25,0.297724415546779
1998,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,88852.47,42490.72,22588.36,0.0,0.0,47097.14,2493.34,0.47939423050553254
1999,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,88375.69,40104.22,20871.41,0.0,0.0,48076.07,1630.38,0.551237515453226
2000,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,105577.01,48970.8,22435.01,0.0,0.0,70807.32,1234.26,0.4743260766907111
2001,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,108651.15,52663.89,24724.96,0.0,0.0,71601.29,399.86,0.4341916761051733
2002,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,95962.73,48164.54,23352.93,0.0,0.0,59318.47,221.07,0.4105718653519996
2003,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,97419.23,49640.81,25015.289999999997,0.0,0.0,66632.56,506.16,0.33904623144438856
2004,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,103719.97,55288.09,23170.02,0.0,0.0,66201.93,1121.17,0.37523316662482875
2005,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,90847.89,52058.51,21955.28,704.82,0.0,57647.79,747.33,0.30034907026477553
2006,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,92186.53,51255.05,20709.88,629.84,0.0,64149.78,851.26,0.320786252035352
2007,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,94916.85,56488.69,19825.32,648.08,0.0,60207.07,570.07,0.31674606603732924
2008,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,90827.96,56865.48,19943.15,0.0,0.0,54307.33,548.51,0.2555667728358549
2009,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,78065.74,47688.08,19048.88,643.2,0.0,42500.03,482.7,0.2785300049578052
2010,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,82406.01,51632.11,14865.56,456.97,0.0,48307.19,403.41,0.3359701995048304
2011,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,85440.17,54533.38,15343.53,0.0,0.0,45435.31,673.87,0.33753061754730834
2012,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,80828.54,52032.21,14880.22,478.32,2600.86,42350.79,675.26,0.27410301433666334
2013,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,82482.23,52223.91,16374.63,491.94,0.0,43466.51,500.29,0.32696557402403614
2014,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,85345.92,52178.59,17314.86,534.82,0.0,45827.18,1509.49,0.3461859484412402
2015,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,89804.4,53739.52,16833.85,590.35,0.0,51724.94,1200.0,0.3745187051700011
2016,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,91042.61,54177.87,18399.85,743.05,0.0,52719.11,562.97,0.36049531099386506
2017,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,93722.12,55468.19,18445.85,793.07,1315.56,59149.55,462.72,0.3235171215590346
2018,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,100680.85,59116.15,18886.05,998.55,1209.78,66520.13,178.34,0.3368506054186851
2019,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,98990.48,58714.99,20871.180000000004,984.49,1319.21,73105.77,-68.88,0.2610953177223181
2020,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,91715.69,54077.19,18926.48,1072.32,1340.4,92284.71,-167.62,0.2002227816792736
2021,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,103283.32,60319.74,20831.449999999997,833.26,1138.11,106952.66,-160.18,0.2043896723814262
2022,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,117895.18,70444.39,20248.1,898.35,1140.59,131388.85,-314.53,0.205688269067503
2023,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,107183.99,69961.63,22985.93,1117.93,2167.41,122867.66,-1084.95,0.10828261253177894
2024,STEa.ST,Stora Enso Oyj,Containers & Packaging,Materials,105145.82,69113.42,21496.28,894.71,2823.5600000000004,119305.14,-1765.04,0.1072593098015061
