Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2002,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,112.76,63.86,56.27,5.05,0.0,16.13,0.0,-0.14383137011779296,0.0,0.0
2003,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,227.91,145.05,73.48,7.54,0.0,26.0,0.0,0.6507692307692303,0.0,0.0
2004,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,548.5,375.5,122.07999999999998,8.79,0.0,85.39,0.0,0.6992622086895421,0.0,0.0
2005,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,937.19,665.57,233.66,12.63,0.0,160.12,0.0,0.31595053709717713,0.0,0.0
2006,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1517.64,1099.7,247.0,15.73,0.0,317.74,0.0,0.5874929187385914,0.0,0.0
2007,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,2308.71,1757.43,382.4,24.41,0.0,303.86,0.0,0.636115316264069,0.0,0.0
2008,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,2956.56,2317.57,510.75,46.66,0.0,259.58,0.0,0.6737807227059086,0.0,0.0
2009,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,2480.81,1913.03,530.53,34.62,13.42,388.78,0.0,0.15034209578682034,0.0,0.0
2010,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,2080.86,1558.67,444.23,29.05,1.23,448.39,0.0,0.2359107027364572,0.0,0.0
2011,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,2256.58,1715.44,431.4,36.89,0.0,504.0,0.0,0.29093253968253946,0.0,0.0
2012,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1983.3,1517.94,465.36,50.62,0.8400000000000001,418.07,0.0,0.11907096897648692,0.0,0.0
2013,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1806.25,1395.33,389.7,36.29,1.0699999999999998,477.39,0.0,0.1182261882318442,0.0,0.0
2014,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1591.58,1245.22,349.44,40.49,16.779999999999998,423.03,0.0,0.0487672269106208,0.0,0.0
2015,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1552.97,1235.69,387.71,65.25,17.610000000000003,259.48,0.0,-0.08782950516417454,0.0,0.0
2016,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1319.74,1022.96,347.12999999999994,55.71,16.19,195.86,0.0,-0.0552945981823751,0.0,0.0
2017,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1135.89,883.85,265.53,32.41,11.3,205.65,0.0,0.03705324580598152,0.0,0.0
2018,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1098.58,851.5,230.35,25.9,13.38,230.29,0.0,0.12701376525250743,0.0,0.0
2019,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1124.79,878.71,238.74,29.06,13.429999999999998,218.14,0.0,0.10529934904189935,0.0,0.0
2020,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1264.46,1003.92,234.96,29.59,8.49,236.48,0.0,0.19739512855209773,0.0,0.0
2021,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1424.62,1147.31,248.86,28.18,8.740000000000002,254.59,0.0,0.18810636710004294,0.0,0.0
2022,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1557.81,1228.99,287.87,28.58,8.530000000000001,289.64,0.0,0.21060626985223008,0.0,0.0
2023,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,1977.37,1565.45,372.58,46.07,10.08,335.5,0.0,0.2245305514157969,0.0,0.0
2024,TRAD.ST,TradeDoubler AB,Media & Publishing,Communication Services,2149.32,1683.42,445.76,46.13,9.54,409.75,0.0,0.13845027455765735,0.0,0.0
