Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,9690.0,1894.0,6888.0,0.0,0.0,2291.0,140.0,0.3735088440970794,0.0,324.0
2005,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,9832.0,1908.0,7091.0,0.0,0.0,2934.0,287.0,0.25861533685190935,0.0,290.0
2006,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,11648.0,2126.0,8688.0,0.0,185.0,4875.0,294.0,0.12555620042561424,0.0,439.0
2007,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,13610.0,2209.0,10373.0,0.0,289.0,4770.0,193.0,0.14890187386661294,0.0,586.0
2008,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,12851.0,1470.0,10506.0,0.0,360.0,3617.0,124.0,0.1376637262763967,0.0,592.0
2009,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,12745.0,1334.0,10475.0,0.0,280.0,4837.0,437.0,0.12438376943496397,0.0,662.0
2010,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,13768.0,1193.0,11001.0,0.0,134.0,6677.0,329.0,0.20553811019126464,0.0,588.0
2011,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14378.0,1159.0,11578.0,0.0,0.0,6324.0,156.0,0.25324074074074077,0.0,505.0
2012,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14763.0,1057.0,12176.0,0.0,0.0,5864.0,245.0,0.2504501555082665,0.0,479.0
2013,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14870.0,850.0,12719.0,0.0,163.0,7325.0,261.0,0.15001318217769574,0.0,476.0
2014,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14975.0,696.0,12805.0,0.0,144.0,6560.0,230.0,0.1958762886597938,0.0,467.0
2015,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,15117.0,575.0,13024.0,0.0,138.0,10776.0,314.0,0.12443642921550947,0.0,498.0
2016,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,15854.0,500.0,13752.0,0.0,88.0,10235.0,305.0,0.14364326375711575,0.0,529.0
2017,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,16943.0,432.0,14539.0,0.0,104.0,14793.0,261.0,0.12408662149594792,0.0,634.0
2018,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,18059.0,409.0,15113.0,0.0,116.0,14412.0,262.0,0.16498568897369498,0.0,731.0
2019,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,19075.0,416.0,16006.0,0.0,274.0,10498.0,6383.0,0.14092767016172028,0.0,1253.0
2020,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,12908.0,454.0,11156.0,0.0,265.0,10178.0,5675.0,0.065161168233142,0.0,829.0
2021,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14623.0,531.0,12335.0,0.0,259.0,50332.0,201.0,0.029643995013159716,0.0,984.0
2022,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,15272.0,549.0,13433.0,0.0,358.0,28505.0,161.0,0.03251238400893044,0.0,1117.0
2023,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,7617.0,493.0,5695.0,42.0,494.0,42284.0,142.0,0.02302833168340169,0.0,607.0
2024,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,8325.0,599.0,6218.0,132.0,358.0,32485.0,19.0,0.03944129953236525,0.0,702.0
