Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1996,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,5699.99,5329.83,0.0,0.0,35.3,1319.96,0.0,0.25368950574259813
1997,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,5437.06,5113.53,0.0,0.0,27.59,1339.4,0.0,0.22094967896072917
2005,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3513.69,2428.56,1.82,0.0,41.84,838.25,19.72,1.2138769420842224
2006,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4215.3,2699.5,1299.51,0.0,44.620000000000005,912.81,10.94,0.1858403247631937
2007,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4696.76,3822.54,1724.75,0.0,0.0,1080.29,10.46,-0.7797662159064861
2008,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7650.55,4927.47,2270.59,0.0,164.44,1329.79,17.15,0.21385510861656776
2009,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7722.83,4873.65,2584.46,0.0,216.36,1419.55,14.69,0.033718206157965364
2010,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6285.53,3796.14,2223.11,0.0,0.0,1459.15,0.0,0.18248980570880288
2011,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6569.59,4037.16,2370.57,0.0,102.77,1623.93,0.0,0.03638703638703647
2012,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6783.13,4188.22,2468.86,0.0,144.93,1732.12,0.0,-0.010899937648661918
2013,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6621.93,3991.64,2542.1800000000003,0.0,70.83,1850.2,0.0,0.009339530861528554
2014,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7029.49,4177.44,2511.98,0.0,100.19,2038.06,0.0,0.11770016584398897
2015,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7234.86,4266.03,2575.1800000000003,0.0,74.15,2172.32,0.0,0.1470777785961551
2016,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7653.3,4499.41,2684.1800000000003,0.0,38.16,2636.81,0.0,0.1636636693580501
2017,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3692.99,2280.91,1147.2,0.0,35.64,2610.67,0.0,0.08780887664852313
2018,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3731.41,2137.79,1361.92,0.0,43.81,1466.85,0.0,0.1280908068309642
2019,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3664.34,2117.79,1308.7600000000002,0.0,38.08,1537.04,0.0,0.12993155675844478
2020,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3824.65,2249.57,1267.97,0.0,57.47,1717.24,12.63,0.1443114222456022
2021,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4448.45,2655.03,1369.31,0.0,58.82,1666.12,13.71,0.217456528339177
2022,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4508.76,2587.0,1436.89,0.0,57.16,1791.6,15.9,0.23663070539419095
2023,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4550.11,2516.98,1528.2,0.0,115.94,2198.59,59.48,0.17226658163830155
2024,BERGb.ST,Bergman & Beving AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4738.55,2471.11,1648.41,0.0,218.72,2140.66,106.63,0.17813010336894658
