Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,10637.04,0.0,1155.28,0.0,24.78,1360.94,0.0,6.948858876952694
2005,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,10428.73,0.0,1198.0,0.0,19.87,1092.02,0.0,8.434698998186846
2006,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,12231.05,0.0,1417.5,0.0,14.79,1533.32,0.0,7.042730806354837
2007,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,13349.65,0.0,1530.68,0.0,119.61,1267.38,0.0,9.231138253720271
2008,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,12213.89,0.0,1540.42,0.0,71.85,1092.86,0.0,9.700803396592427
2009,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,11275.11,0.0,1399.1,0.0,33.74,1152.98,0.0,8.536375305729502
2010,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,13652.81,0.0,1539.37,0.0,53.75,1508.85,0.0,7.992636776352851
2011,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,15684.72,0.0,1647.07,0.0,30.23,1419.57,0.0,9.867368287580042
2012,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,15179.06,12847.46,1687.9,0.0,62.73,1357.66,0.0,0.42792009781535895
2013,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,15934.87,13432.19,1767.13,0.0,83.03999999999999,1718.1,0.0,0.37978580990629196
2014,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,16944.16,14268.33,1771.94,0.0,50.52,1772.27,0.0,0.48151241063720535
2015,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,19545.66,16326.45,2049.89,0.0,46.85,2151.73,0.0,0.5216593159922478
2016,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,23474.64,19706.88,2406.77,0.0,105.07,2381.23,0.0,0.5274249022563963
2017,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,26621.77,22435.61,2674.57,0.0,133.63,2621.69,0.0,0.5255998993015953
2018,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,26578.84,22294.5,2798.17,0.0,112.37,2844.63,0.0,0.48294505788098985
2019,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,27459.66,22881.19,2865.27,0.0,297.79,2987.39,0.0,0.4737948510238038
2020,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,30876.41,25759.0,2894.41,0.0,308.06,4143.39,0.0,0.4621674522552789
2021,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,35587.37,29564.11,3375.43,0.0,213.47000000000003,4303.39,0.0,0.5656842628718295
2022,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,33582.86,27826.89,3401.52,0.0,247.99,4599.96,0.0,0.45793006895712157
2023,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,38332.08,32221.08,3849.73,0.0,564.3200000000002,4873.75,0.0,0.3481815850218004
2024,BILIa.ST,Bilia AB,Specialty Retailers,Consumer Discretionary,39816.47,33294.46,4283.59,0.0,700.71,5075.71,0.0,0.30295466053025133
