Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,8089.03,5627.23,1523.01,0.0,3644.94,6190.96,0.0,-0.4371131456187731
2015,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,10981.82,7770.27,1857.71,0.0,2708.65,12436.32,0.0,-0.10893978282964743
2016,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,12164.47,8310.29,2214.31,0.0,352.52,13254.65,0.0,0.09712440539735101
2017,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,13599.45,9295.15,2380.2,0.0,513.22,14523.38,0.0,0.09714543033371029
2018,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,17113.02,11540.1,2916.16,0.0,1199.62,15642.05,0.0,0.093155308926899
2019,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,17218.59,11636.02,3097.92,0.0,1362.37,16280.64,0.0,0.0689334080232718
2020,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,16587.57,11156.98,3208.62,0.0,1503.49,16917.1,0.0,0.042470636220155955
2021,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,21563.49,15188.45,3097.83,412.91,1388.06,21869.63,0.0,0.10526286910203789
2022,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,28280.1,20792.01,3888.0,504.53,1214.29,24863.52,0.0,0.11624782009948711
2023,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,27643.81,19899.56,4284.66,588.21,2642.46,26167.83,0.0,0.05370487350307611
2024,DOMETIC.ST,Dometic Group AB (publ),Automobiles & Auto Parts,Consumer Discretionary,25038.48,18102.56,4303.93,596.98,2728.6,26180.46,0.0,0.01911234561959561
