Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,5.19,0.0,4.79,0.0,0.03,0.31,0.0,1.1935483870967754
2015,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,6.98,0.0,5.840000000000001,0.0,0.15,0.84,0.0,1.1785714285714282
2016,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,11.4,0.0,9.76,0.0,0.0,1.25,0.0,1.3120000000000005
2017,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,10.46,0.0,9.52,0.0,0.0,2.58,0.0,0.3643410852713183
2018,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,69.28,15.34,50.56999999999999,0.0,0.1,29.92,0.0,0.10929144385026753
2019,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,141.12,47.7,103.74,0.0,11.13,153.03,0.0,-0.14016859439325619
2020,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,583.18,389.84,268.87,0.0,0.0,3245.58,0.0,-0.02327164944324282
2021,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,1471.14,585.89,733.41,0.0,136.6,4479.54,0.0,0.003402135040651529
2022,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,1772.87,595.08,903.97,0.0,35.92,3673.1,0.0,0.06476817946693526
2023,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,2035.34,615.78,1019.76,0.0,50.36,3926.89,0.0,0.08898644983689381
2024,EG7.ST,Enad Global 7 AB (publ),Software & IT Services,Information Technology,1742.12,502.19,1112.08,0.0,46.69,4086.58,0.0,0.01986012753940946
