Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,4448.62,1491.13,1699.4299999999998,87.17,0.0,1716.24,0.0,0.7838239407075933
2005,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,4240.94,1355.2,1850.98,101.92,55.27999999999999,3935.0,0.0,0.2748157560355781
2006,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5609.09,1633.3,3511.12,105.29,49.60000000000002,4661.88,0.0,0.11162020472427432
2007,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5640.79,1632.09,3675.01,153.41,56.34000000000003,3406.88,0.0,0.12643826609683917
2008,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5721.2,1655.03,5057.49,152.25,106.91999999999996,1953.63,15.12,-0.48050285714285695
2009,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,5458.96,1660.82,2584.23,190.94,89.70999999999998,4945.29,2.43,0.2658072809293978
2010,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,4500.55,1328.58,3448.26,180.56,220.86999999999995,3009.9,0.0,-0.10518621881125617
2011,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,3752.76,1020.89,3031.57,280.7,698.73,2627.42,0.0,-0.2731691164716718
2012,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,3448.85,824.18,3066.41,281.03,521.6700000000001,3032.92,0.0,-0.22499109768803663
2013,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,3245.46,789.7,2741.8500000000004,233.75,348.38,3390.95,64.09,-0.1159812910993795
2014,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,2760.34,661.38,1626.8,189.23,0.0,1664.92,57.51,0.38398657710327855
2015,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,2332.9,525.86,2308.03,216.08,297.35,1171.1,40.82,-0.4804442537461222
2016,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,1931.51,432.06,1750.83,211.12,328.95000000000005,403.98,39.83,-0.8319100515986572
2017,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,1596.8,398.96,1536.7600000000002,221.75,300.18,1006.65,39.03,-0.3991182771019818
2018,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,1304.5,373.65,1195.87,134.85,197.59,349.36,38.06,-0.846006917557173
2019,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,986.42,374.09,863.5899999999999,96.78,157.26999999999998,-293.49,37.51,1.2178685834830845
2020,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,902.71,340.82,778.87,74.71,141.24,177.51,36.55,-1.324441745305054
2021,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,829.83,99.22,421.93,0.0,24.05,78.92,12.67,3.1076536739818756
2022,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,883.63,94.06,457.97,0.0,32.3,287.09,0.94,1.0391278686247958
2023,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,955.47,96.54,568.3000000000001,0.0,23.89,270.82,1.01,0.9812750616193946
2024,ENRO.ST,Eniro Group AB,Media & Publishing,Communication Services,967.16,109.84,565.4499999999999,0.0,19.32,290.95,1.03,0.9334543461880952
