Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1423.92,892.04,307.96,0.0,4.42,506.92,19.48,0.4169832826747723
2013,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1982.68,1352.11,436.31,0.0,5.64,647.44,21.0,0.2821794027885826
2014,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2401.6,1763.6,580.99,0.0,14.33,590.33,6.01,0.07156990978300967
2015,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1759.51,1239.71,560.8499999999999,0.0,16.99,451.34,57.62,-0.11403646651996219
2016,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1994.96,1370.0,501.14,0.0,16.05,431.69,54.5,0.2216623130874762
2017,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1314.86,846.17,474.2000000000001,0.0,14.32,380.7,100.25,-0.04123089718265966
2018,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1964.36,1566.26,498.3,35.81,17.87,210.95,82.44,-0.2803776543167801
2019,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2236.21,1876.73,512.21,12.67,47.60999999999999,-161.3,46.65,1.6368948975141733
2020,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2322.58,1719.96,490.93000000000006,15.98,45.52,-78.81,47.99,-2.6654769630110264
2021,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,902.89,636.96,216.33,16.01,6.63,297.81,0.0,0.19804573385715699
2022,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,221.7,78.3,167.39,0.15,19.84,308.75,3.39,-0.13993720766322806
2023,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,659.34,275.45,369.15,0.23,39.4,285.1,5.32,-0.08411955099511023
2024,EQVA.OL,Eqva ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1060.74,529.43,490.4,0.23,39.7,317.66,-5.65,0.004615236691132005
