Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1996,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,1193.82,437.01,52.82,0.0,169.15,0.0,0.0,
1997,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,1930.5,442.25,79.18,0.0,650.22,3828.78,0.0,0.19819629229153932
1998,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,2166.45,502.22,58.54,0.0,895.38,4452.67,0.0,0.15952451001309323
1999,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,2958.99,909.91,91.9,0.0,1384.08,4466.82,151.89,0.12408226539444994
2000,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,6338.13,856.34,82.06,0.0,1683.02,9026.88,53.22,0.4093247871719475
2001,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,6385.03,0.0,118.34,0.0,1648.94,11203.85,61.03,0.4099244732300743
2002,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,4322.55,1075.84,123.14,0.0,1125.44,8501.08,0.0,0.2350442532007698
2003,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,8433.02,2287.53,148.54,0.0,1052.26,8372.75,0.0,0.5905694067062792
2004,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,12735.63,2435.66,173.37,0.0,2767.78,5577.57,1997.36,0.9714703634225
2005,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,10231.8,2170.3,135.57,0.0,2652.78,4822.72,3174.5,0.6593728820765216
2006,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,10450.74,2556.52,205.92,0.0,2567.7,4167.0,3372.71,0.6791507896192293
2007,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,7951.12,2063.41,213.16,0.0,2394.88,2423.71,0.0,1.353161062998461
2008,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,12123.8,3343.66,198.9,0.0,2076.98,4877.11,46.1,1.3211421003775992
2009,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,7276.37,1377.92,192.5,0.0,2022.36,4294.88,54.5,0.8469230097163274
2010,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,7118.76,1707.74,192.59,0.0,1811.2,4349.66,69.3,0.7710479388815469
2011,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,4053.4,1633.27,201.05,0.0,762.18,1201.2,74.68,1.1418785465717778
2012,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,3363.07,1569.1,197.16,0.0,547.11,665.75,63.83,1.4387729926807207
2013,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,3039.89,1761.79,185.9,0.0,533.21,-163.5,54.0,-5.104931506849313
2014,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,3529.24,1805.75,257.19,0.0,478.13,-530.37,2.48,-1.8719240750914012
2015,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,3700.34,884.55,85.32,0.0,142.08,12784.84,0.54,0.2024492036998509
2016,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,6333.31,1357.17,310.88,0.0,475.96,12952.05,1.45,0.32341066121125567
2017,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,5342.37,2143.59,310.82,0.0,577.07,9744.24,2.63,0.23709047109482323
2018,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,6042.47,3075.28,303.59,0.0,759.31,10053.72,3.6,0.1893436820146918
2019,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,8422.59,3479.48,396.08,0.0,831.08,13255.17,2.04,0.2802965329809214
2020,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,11492.4,3322.95,416.32,0.0,1335.59,13827.79,-4.05,0.4642405022085195
2021,FRO.OL,Frontline Plc,Oil & Gas Related Equipment and Services,Energy,6440.69,3375.11,239.71,0.0,1022.5,14557.6,-4.16,0.12391365890126316
