Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,1.7,0.0,10.63,0.0,0.06,6.79,0.0,-1.3240058910162005
2013,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,31.43,0.0,0.07,11.28,0.0,-2.792553191489362
2014,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,29.16,0.0,0.0,4.33,0.0,-6.734411085450346
2015,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,38.96,0.0,0.0,1.38,0.0,-28.231884057971016
2016,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,63.95,0.0,0.0,5.21,0.0,-12.27447216890595
2017,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,70.49000000000001,0.0,0.01,343.25,0.0,-0.2053896576839039
2018,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,83.99000000000001,0.0,0.6,258.61,0.0,-0.3270948532539345
2019,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,154.74,0.0,0.17,98.37,0.0,-1.5747687303039544
2020,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,37.99,0.0,227.07,0.0,0.31,69.51,0.0,-2.7246439361242984
2021,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,22.46,0.0,225.77,0.0,0.26,310.05,0.0,-0.656571520722464
2022,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,12.16,0.0,171.29000000000002,0.0,0.0,149.19,0.0,-1.0666264494939341
2023,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.72,0.0,42.17,0.0,0.0,122.25,0.0,-0.3390593047034765
2024,ISOFOL.ST,Isofol Medical AB (publ),Pharmaceuticals,Health Care,0.0,0.0,48.0,0.0,0.0,80.13,0.0,-0.5990265818045676
