Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1998,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,20436.85,0.0,202.45,0.0,60.13999999999999,8369.86,118.94,2.376573838469512
1999,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,20991.07,0.0,712.11,0.0,31.57,7810.5,122.68,2.552241345841138
2000,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,20163.2,0.0,523.14,0.0,12.980000000000018,9271.84,148.71,2.0834324959795345
2001,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,19740.72,0.0,406.17,0.0,329.76,8882.26,132.23,2.108249052359036
2002,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,19611.3,0.0,388.88,0.0,18.019999999999985,7681.61,119.26,2.4618279755975934
2003,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,21914.78,0.0,419.38,0.0,295.32,8694.52,270.29,2.364810854887052
2004,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,14183.49,0.0,0.0,0.0,475.27,7643.09,232.31,1.7406379358508772
2005,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,15973.89,0.0,172.2,0.0,229.07,8028.26,109.39,1.9136507468372317
2006,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,20290.79,0.0,0.0,0.0,299.23,8799.66,103.63,2.245412650829076
2007,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,22512.16,0.0,507.09,0.0,1300.96,8499.52,121.31,2.4016376613388735
2008,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,23328.77,0.0,335.19,0.0,109.53999999999996,9347.0,128.15,2.415163876033625
2009,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,17191.72,0.0,303.71,0.0,1885.08,10363.96,160.07,1.42558791641605
2010,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,17293.67,0.0,148.06,0.0,1988.74,10434.93,201.71,1.4249678469892746
2011,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,17198.84,0.0,0.0,0.0,456.62,10510.31,95.16,1.578640079128978
2012,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,16747.91,9664.3,2928.22,274.29,470.85,9155.7,96.89,0.4278618203119343
2013,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,17406.15,9485.89,3022.71,250.66,751.19,9276.13,108.4,0.468539180971237
2014,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,17855.54,11050.76,2784.41,233.98,685.24,10401.05,113.89,0.3394322744590079
2015,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,21226.57,12882.1,3652.1,285.33,737.04,11330.91,123.84,0.37020973831816484
2016,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,21950.72,12901.26,4025.49,298.15,617.65,10623.73,117.13,0.4379975160275808
2017,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,23194.94,14014.93,4054.0,282.71,742.68,11410.51,135.86,0.4041131541774599
2018,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,24894.65,14811.2,4102.7,289.96,768.1199999999999,11786.17,127.81,0.4618599326169761
2019,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,26175.62,13629.28,7371.860000000001,298.3,1042.57,11982.89,130.88,0.3657168660128101
2020,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,26027.4,12782.08,7345.4,309.9,952.22,12488.66,138.29,0.41637925231350414
2021,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,27176.4,14633.84,7181.26,287.58,814.97,13303.26,139.16,0.35960117300307537
2022,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,36030.71,20520.63,8011.43,331.08,1061.86,17507.68,154.12,0.38319253983172713
2023,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,38599.24,20010.87,10443.48,390.13,1444.18,18620.85,216.99,0.3764147057199763
2024,KEMIRA.HE,Kemira Oyj,Chemicals,Materials,34255.76,16533.54,9372.37,392.74,1167.77,21008.72,212.98,0.35693747437764173
