Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,KRE.CO,Kreditbanken A/S,Banking Services,Financials,126.75,0.0,0.0,0.0,0.03,261.55,0.0,0.48449627222328423
2005,KRE.CO,Kreditbanken A/S,Banking Services,Financials,134.19,0.0,0.0,0.0,0.08,291.99,0.0,0.4592965512517551
2006,KRE.CO,Kreditbanken A/S,Banking Services,Financials,185.31,0.0,0.0,0.0,0.1,342.62,0.0,0.5405697273947814
2007,KRE.CO,Kreditbanken A/S,Banking Services,Financials,234.39,0.0,0.0,0.0,0.0,372.71,0.0,0.6288803627485177
2008,KRE.CO,Kreditbanken A/S,Banking Services,Financials,297.29,0.0,0.0,0.0,0.04,481.3,0.0,0.6175981716185331
2009,KRE.CO,Kreditbanken A/S,Banking Services,Financials,183.65,0.0,0.0,0.0,41.33,413.65,0.0,0.34405898706636046
2010,KRE.CO,Kreditbanken A/S,Banking Services,Financials,191.99,0.0,0.0,0.0,0.11,403.93,0.0,0.4750328027133414
2011,KRE.CO,Kreditbanken A/S,Banking Services,Financials,142.49,0.0,0.0,0.0,0.11,406.92,0.0,0.34989678560896487
2012,KRE.CO,Kreditbanken A/S,Banking Services,Financials,150.08,0.0,0.0,0.0,13.85,394.26,0.0,0.34553340435245783
2013,KRE.CO,Kreditbanken A/S,Banking Services,Financials,151.68,0.0,29.85,0.0,10.33,458.01,0.0,0.2434444662780289
2014,KRE.CO,Kreditbanken A/S,Banking Services,Financials,167.97,0.0,33.46,0.0,9.29,521.3,0.0,0.24020717437176292
2015,KRE.CO,Kreditbanken A/S,Banking Services,Financials,184.76,0.0,0.0,0.0,4.59,558.28,0.0,0.322723364619904
2016,KRE.CO,Kreditbanken A/S,Banking Services,Financials,205.15,0.0,0.0,0.0,4.41,566.26,0.0,0.35450146575777913
2017,KRE.CO,Kreditbanken A/S,Banking Services,Financials,215.04,0.0,0.0,0.0,3.1,686.89,0.0,0.30855013175326473
2018,KRE.CO,Kreditbanken A/S,Banking Services,Financials,253.97,0.0,0.0,0.0,3.75,755.91,0.0,0.331018242912516
2019,KRE.CO,Kreditbanken A/S,Banking Services,Financials,250.25,0.0,0.0,0.0,1.55,856.48,0.0,0.29037455632355685
2020,KRE.CO,Kreditbanken A/S,Banking Services,Financials,271.22,0.0,0.0,0.0,0.08,987.31,0.0,0.27462499113753536
2021,KRE.CO,Kreditbanken A/S,Banking Services,Financials,287.32,0.0,57.44,0.0,0.13,1057.42,0.0,0.21727412002799265
2022,KRE.CO,Kreditbanken A/S,Banking Services,Financials,266.74,0.0,69.46,0.0,1.87,1156.03,0.0,0.1690354056555626
2023,KRE.CO,Kreditbanken A/S,Banking Services,Financials,538.71,0.0,94.07,0.0,30.23,1437.85,0.0,0.28821504329380676
2024,KRE.CO,Kreditbanken A/S,Banking Services,Financials,567.3,0.0,103.89,0.0,68.63,1704.48,0.0,0.23161316061203416
