Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,851.21,200.31,603.66,0.0,1.84,65.3,12.45,0.5839228295819952
2013,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,885.75,325.39,645.6800000000001,0.0,2.42,111.56,13.42,-0.702032325172028
2014,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,1429.72,593.34,228.01,0.0,15.62,134.72,14.78,3.9648829431438126
2015,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,2465.43,843.71,312.74,0.0,12.3,320.2,0.36,4.045046169203893
2016,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,3360.36,1236.6,448.58,0.0,10.78,1049.27,0.03,1.5862003240255411
2017,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,5575.74,2286.84,752.01,0.0,6.53,1480.71,2.95,1.7054850841837073
2018,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,6927.25,3185.19,1033.6,0.0,25.47,1605.96,2.62,1.6679245048427809
2019,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,6573.45,2214.78,1048.99,3.95,94.37,1103.33,0.06,2.9176084611968576
2020,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,5840.41,3829.94,879.11,4.47,99.18,1295.16,0.07,0.8003597816604
2021,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,4106.22,3525.78,731.3499999999999,3.66,66.35,910.34,0.08,-0.23461698996067734
2022,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,3480.24,3150.04,648.86,7.81,67.44,697.86,0.09,-0.5420015760441296
2023,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,50.81,67.74,218.79,0.75,72.95,-138.59,0.1,2.2234096324644375
2024,LEHTO.HE,Lehto Group Oyj,Construction & Engineering,Industrials,12.62,8.24,65.35,0.02,76.24,11.34,0.12,-11.971204188481677
