Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2009,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,3412.26,2290.21,916.41,37.73,92.17,699.98,125.94,0.18306857807051555
2010,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,3855.85,2530.92,941.3,39.84,95.42,838.1,7.98,0.3877292927382752
2011,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,4928.99,3284.11,1203.49,40.63,167.49,1581.06,10.94,0.19756909547738677
2012,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,5314.39,3480.29,1191.93,44.8,90.43,1831.51,11.31,0.32371040036465865
2013,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,5441.86,3526.61,1319.97,47.49,80.58,2229.95,15.09,0.25041424651676564
2014,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,6248.19,3903.05,1470.65,50.52,85.42,3311.62,17.25,0.25221471550405977
2015,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,7554.19,4651.45,1796.5299999999995,69.8,61.19,4122.41,26.16,0.2687239217368877
2016,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,8824.84,5307.47,2248.68,86.41,84.44999999999999,4468.48,43.62,0.28160945014516525
2017,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,9712.51,5583.48,2573.87,101.68,88.12,5499.55,50.03,0.2826736437712405
2018,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,11196.42,6403.57,2903.99,134.85,82.41,6523.62,61.48,0.29480190126193995
2019,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,12883.93,7475.38,3377.09,159.13,155.41,7421.6,53.45,0.2722630617855399
2020,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,14105.63,8155.1,3556.6,123.84,179.11,8994.74,64.74,0.2581450590983146
2021,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,17518.58,10172.4,4136.11,140.31,181.4,10371.2,108.14,0.30240263222683894
2022,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,20477.52,11918.61,4756.420000000001,154.87,348.71000000000004,12460.47,95.07,0.28741495785923976
2023,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,24338.49,13572.59,6015.46,195.07,1258.03,15314.9,119.8,0.23890843359443342
2024,LIFECOb.ST,Lifco AB (publ),Consumer Goods Conglomerates,Other,26581.26,14795.28,6715.240000000001,258.32,1553.97,18769.94,156.27,0.19946360100622346
