Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,8214.98,6306.79,1460.48,0.0,2.6599999999999966,91.7,0.0,4.853326063249723
2005,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,8435.92,7175.48,1674.0,0.0,3.1099999999999994,574.03,0.0,-0.7258679859937626
2006,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9984.63,7599.5,1815.43,0.0,3.4000000000000057,2508.67,0.0,0.22573714358604327
2007,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9626.1,7757.39,1897.31,0.0,0.0,1265.53,0.0,-0.022599227201251577
2008,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9321.73,7526.43,1463.36,0.0,329.46000000000004,2646.34,0.0,0.0009371433753785741
2009,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9821.69,7714.81,1378.53,0.0,4.109999999999999,2532.52,0.0,0.2859760238813514
2010,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9229.53,7151.83,1302.55,0.0,179.72,2709.69,0.0,0.219741003583436
2011,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9017.85,7389.8,1229.04,0.0,126.97,2947.6,0.0,0.09229203419731313
2012,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,9439.0,7546.56,1340.69,0.0,48.13,3077.43,0.0,0.1636495387384927
2013,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,10217.41,7878.99,1384.46,0.0,141.7,3925.33,0.0,0.20692782517648198
2014,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,11339.89,9445.77,1705.81,0.0,191.99,4703.37,0.0,-0.0007824177132568718
2015,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,14715.41,11629.11,2133.07,0.0,323.16,6115.07,0.0,0.10303561529140288
2016,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,16187.55,12267.58,2373.39,0.0,350.56,6303.47,0.0,0.18973993689190233
2017,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,16291.45,12136.28,2519.64,0.0,328.27,7041.55,0.0,0.18564946638169155
2018,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,17137.37,13229.49,2660.51,0.0,336.19,8218.69,0.98,0.11085359874544828
2019,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,18994.14,14154.18,3008.58,0.0,630.0,8994.06,0.94,0.1335608671484157
2020,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,18887.34,14344.1,3095.01,0.0,626.36,9159.73,1.04,0.0897162574761728
2021,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,18949.73,14523.99,3403.5,0.0,581.28,9804.17,0.0,0.044976780288387475
2022,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,23782.12,17615.68,3945.0,0.0,952.99,11732.87,0.0,0.10811080323910506
2023,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,28257.89,21312.85,4348.36,0.0,1678.0300000000002,12763.76,0.0,0.07197330567168303
2024,LOOMIS.ST,Loomis AB,Professional & Commercial Services,Industrials,30365.51,22374.96,5057.53,0.0,2124.5,14013.97,0.0,0.057693858342782206
