Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,9.29,0.0,0.0,53.57,0.0,-0.1734179578122083
2011,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,7.86,0.0,0.0,135.59,0.0,-0.057968876760823074
2012,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,4.07,0.0,0.0,128.17,0.0,-0.03175470078801592
2013,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,2.93,0.0,0.0,121.63,0.0,-0.024089451615555375
2014,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,27.84,0.0,0.0,2328.05,0.0,-0.011958506045832347
2015,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,400.31,0.0,0.0,2306.11,0.0,-0.17358668927327836
2016,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,434.74,0.0,0.0,2329.78,0.0,-0.18660130999493513
2017,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,112.79,0.0,0.0,1927.41,0.0,-0.05851894511287168
2018,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,140.29,0.0,0.0,5166.32,0.0,-0.027154725220272843
2019,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,0.0,0.0,161.29,0.0,0.0,4097.95,0.0,-0.03935870374211496
2020,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,3370.55,1250.54,332.56,0.0,392.0,5034.01,0.0,0.27720445529508286
2021,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,6302.73,2321.36,354.84000000000003,0.0,393.76,7172.85,0.0,0.4506953303080365
2022,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,7836.45,3028.9700000000003,372.86,0.0,343.46,8347.41,0.0,0.490111303985308
2023,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,9522.79,3489.71,443.84,0.0,212.87,9687.19,0.0,0.554997888964705
2024,LUNG.ST,Lundin Gold Inc,Metals & Mining,Materials,12817.88,3789.17,721.4300000000001,0.0,39.68,13824.09,0.0,0.5980574489894089
