Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,179484.66,0.0,22576.21,0.0,107.99000000000024,113285.38,543.06,1.377515671830344
2005,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,224406.97,230.1,25845.8,0.0,917.1799999999998,132150.03,724.97,1.4857113076199437
2006,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,280640.04,788.62,33429.67,0.0,714.1799999999994,142415.44,8461.45,1.628530187757714
2007,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,299950.75,0.0,32620.36,0.0,5203.68,147015.66,9055.35,1.6795349117046146
2008,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,344538.57,0.0,36459.18,0.0,20171.5,195105.88,11550.49,1.39317210497794
2009,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,305236.39,619.06,43095.34,4249.03,0.0,165862.23,11247.45,1.5006013222992667
2010,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,339073.5,0.0,0.0,0.0,3485.3900000000003,189756.69,11921.2,1.663980667389965
2011,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,337429.59,109930.35,37416.27,0.0,9006.98,202054.45,14331.14,0.836820926938804
2012,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,288004.85,122856.01,31828.35,0.0,16229.54,205252.45,13506.96,0.535249889364759
2013,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,278520.81,112669.69,33067.95,0.0,14747.15,241614.66,16281.95,0.45768736549115546
2014,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,299957.26,117784.72,37329.92,0.0,17756.940000000002,310401.82,5103.38,0.4028005877557644
2015,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,324999.17,128595.12,44547.5,0.0,18617.22,310162.06,5763.55,0.42174273241096216
2016,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,228930.89,122811.27,33064.25,0.0,19210.52,269975.35,7185.98,0.19427259206758754
2017,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,255783.6,139682.9,34129.28,0.0,25962.72,251208.06,6696.91,0.21716797470013863
2018,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,319761.69,0.0,0.0,0.0,11388.66,281699.37,6660.44,1.0694036384612684
2019,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,342157.18,247885.8,43594.47,0.0,23191.730000000003,246655.48,6487.24,0.10857582631647475
2020,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,373986.97,250281.41,49021.09,0.0,27489.08,256050.32,8612.21,0.17832290048765106
2021,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,531039.51,271729.41000000003,52702.58,0.0,23205.63,391968.6,9511.24,0.4568146933604436
2022,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,783284.04,363112.76,68087.85,0.0,22836.86,626887.83,10198.16,0.5168008324904462
2023,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,538805.13,360993.63,77668.55,0.0,13685.11,547599.45,10743.21,0.15484727604371123
2024,MAERSKb.CO,AP Moeller - Maersk A/S,Freight & Logistics Services,Industrials,596086.86,385057.38,80954.44,0.0,19102.45,646901.55,11706.67,0.16849560426075455
