Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2015,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,47.59,0.0,0.26,64.75,0.0,-0.738996138996139
2016,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,110.8,0.0,0.02,153.27,0.0,-0.7230377764728909
2017,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.0,0.0,154.69,12.52,0.03,350.35,0.0,-0.40587983445126297
2018,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,2.34,0.0,158.66,10.29,0.05,337.28,0.0,-0.4331119544592031
2019,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,8.9,0.0,176.77,21.23,0.11,219.75,0.0,-0.6678043230944256
2020,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.6,0.0,200.79,21.79,0.03,670.23,0.0,-0.26622204317920717
2021,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.77,0.0,239.88,12.74,0.01,384.43,0.0,-0.5888718362250603
2022,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.39,0.0,236.45,8.34,0.32,88.5,0.0,-2.576723163841808
2023,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.35,0.0,136.35,8.5,0.58,127.48,0.0,-1.004706620646376
2024,ONCIN.OL,Oncoinvent ASA,Biotechnology & Medical Research,Health Care,0.85,0.0,111.02,2.87,0.04,122.7,0.0,-0.8748166259168704
