Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2005,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,3713.15,0.0,0.0,0.0,0.0,870.44,0.0,4.265831073939617
2006,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,4029.5,3547.7,0.0,0.0,21.0,1014.1,0.0,0.45439305788383805
2007,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,4669.37,4076.9,0.0,0.0,27.39,1082.74,0.0,0.5218981472929788
2008,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,5687.57,4901.08,0.0,0.0,27.38,1381.88,5.14,0.547295641014549
2009,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,5806.34,4993.22,0.0,0.0,23.53,1529.63,3.03,0.515176229561677
2010,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,4716.4,4141.84,0.0,0.0,19.37,1500.72,0.05,0.36993676579355894
2011,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,6487.76,0.0,0.0,0.0,25.38,1553.38,0.0,4.160205487388791
2012,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,6797.41,0.0,512.8,0.0,23.01,1572.99,0.0,3.9806991779985883
2013,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,7506.73,6697.97,591.69,0.0,42.02,1868.4,12.02,0.09309090522330077
2014,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,9453.31,8307.24,758.57,0.0,44.95,2119.67,8.27,0.16097728319407487
2015,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,12050.63,10619.1,878.68,0.0,54.540000000000006,2880.67,8.4,0.1724811098381136
2016,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,13096.64,11523.59,1047.65,0.0,50.57,3008.49,9.54,0.15733110671530742
2017,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,13819.61,12264.19,1112.36,0.0,58.06,3397.11,8.93,0.11303449166774324
2018,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,15598.36,13768.65,1226.7,0.0,70.77,3664.88,9.41,0.14485519651415674
2019,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,17551.66,15680.7,1226.34,0.0,95.74,4125.0,9.93,0.13274227133228353
2020,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,18809.7,16528.01,1454.94,0.0,81.1,4854.42,9.37,0.15330637219123405
2021,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,20377.16,18062.27,1465.26,0.0,59.89,4979.17,9.21,0.15831592621251778
2022,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,24336.37,21726.51,1692.45,0.0,90.0,5488.55,43.05,0.1495787837153808
2023,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,30178.15,26406.62,2250.99,0.0,105.84,6623.22,48.48,0.21204490609589802
2024,PAALb.CO,Per Aarsleff Holding A/S,Construction & Engineering,Industrials,33748.32,29670.98,2473.75,0.0,164.71,7792.14,80.33,0.182773640293326
