Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,82.41,26.14,35.28,31.72,0.1,85.4,0.17,0.6148182774336799
2005,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,68.88,26.86,25.29,59.96,0.07,48.47,0.0,1.5807716113059627
2006,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,216.01,44.5,25.4,64.74,0.04,326.94,0.0,0.644797210497339
2007,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,106.63,34.66,39.77,112.1,0.01,259.5,0.49,0.5549828839570752
2008,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,36.85,8.76,40.31,76.53,0.01,199.69,0.0,0.3219990986028344
2009,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,82.38,23.76,59.85000000000001,75.78,0.0,415.78,0.0,0.17930155370628695
2010,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,177.36,18.24,69.25999999999999,90.17,0.0,458.85,0.0,0.3923504413206931
2011,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,114.09,21.88,61.56,64.06,0.01,439.34,0.0,0.21555059862521056
2012,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,133.82,18.8,103.49,50.08,0.0,380.27,0.0,0.16201646198753517
2013,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,83.62,13.66,108.5,33.98,0.01,269.12,0.0,-0.016981272294887047
2014,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,128.95,14.0,85.84,32.55,0.0,240.06,0.0,0.2568524535532783
2015,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,134.72,16.44,106.74,31.34,0.0,210.06,0.0,0.204132152718271
2016,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,143.63,18.68,116.8,22.96,0.0,251.94,0.0,0.12348178137651816
2017,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,150.91,24.02,140.22,32.59,0.0,218.08,0.0,0.08831621423330889
2018,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,181.51,34.3,158.67,19.15,0.0,176.34,0.0,0.04360893728025404
2019,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,281.56,45.02,191.7,13.64,0.0,208.59,0.0,0.2803585982070089
2020,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,256.48,37.02,234.59,13.84,0.0,508.13,0.0,-0.0025387204061952493
2021,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,360.54,48.1,323.17,4.32,0.009999999999998,502.63,0.0,-0.01277281499313615
2022,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,393.13,45.4,400.72,3.34,25.8,462.73,0.0,-0.16305404879735488
2023,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,500.66,52.28,432.03,2.07,26.32,482.85,0.0,-0.016361188774981845
2024,PHO.OL,Photocure ASA,Pharmaceuticals,Health Care,525.39,61.44,454.42,3.63,25.83,501.72,0.0,-0.025253129235430178
