Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0
2008,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,9.2,0.1,0.0,0.0,5.71,129.74,4.13,0.025323074624635837
2009,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,19.39,1.74,0.0,0.0,14.42,112.15,3.66,0.027890510318625352
2010,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,17.25,1.21,0.0,0.0,12.27,104.67,3.67,0.03479785859331733
2011,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,20.77,1.75,2.15,0.0,12.4,89.44,3.18,0.04826171453249838
2012,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,20.13,1.38,2.35,0.0,11.07,92.11,3.3,0.05586416518184675
2013,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,20.89,2.3,2.37,0.0,18.02,116.05,3.96,-0.014998750104157995
2014,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,23.47,2.09,2.58,0.0,20.2,138.84,4.54,-0.009764262798158754
2015,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,85.03,15.35,25.0,0.0,39.8,422.49,292.84,0.006822026197698978
2016,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,133.9,26.5,22.67,0.0,52.24,461.64,302.34,0.042527291290347914
2017,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,143.31,44.6,18.69,0.0,44.9,1130.6,489.14,0.0216824922518429
2018,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,210.75,64.9,19.15,0.0,84.44,1297.92,556.93,0.022783513491657005
2019,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,216.49,65.2,21.62,0.0,75.58,1555.54,637.65,0.024662705921511596
2020,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,257.9,69.26,26.51,0.0,86.72,1964.67,791.61,0.027359339399480456
2021,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,249.63,67.77,23.16,0.0,117.1,2216.5,890.72,0.013388173351098416
2022,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,256.07,78.35,23.0,0.0,113.42,1714.58,1048.48,0.014947196224475762
2023,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,302.38,88.59,28.89,0.0,158.82,1836.71,1140.09,0.008761085729642563
2024,PRIMOF.CO,Prime Office A/S,Real Estate Operations,Real Estate,314.39,102.43,35.07,0.0,176.77,1997.12,1179.88,3.7771482530681815e-05
