Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,45.13,2.82,34.18,0.0,1.01,12.02,0.0,0.5923460898502498
2005,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,50.97,2.52,41.49,0.0,0.0,16.7,0.0,0.4167664670658679
2006,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,55.51,5.92,45.93,10.01,0.04,21.26,0.0,0.6411100658513638
2007,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,56.55,5.52,49.44,12.03,0.0,17.94,0.0,0.7591973244147159
2008,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,61.87,7.21,45.24,12.68,0.05,26.52,0.0,0.8314479638009048
2009,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,57.76,3.94,43.91,11.56,0.21,21.36,0.0,0.9953183520599254
2010,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,55.52,1.82,44.17,10.23,0.21,20.97,0.0,0.9322842155460184
2011,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,58.75,1.95,47.08,10.23,0.16,23.06,0.0,0.8581960104076324
2012,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,69.66,3.0,56.22,12.1,0.12,21.88,0.0,1.0246800731261425
2013,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,67.84,2.28,55.77,0.0,0.07,23.94,0.0,0.4060150375939849
2014,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,79.73,2.82,61.61,0.0,0.03,28.89,0.0,0.5285565939771552
2015,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,84.4,4.99,68.76,0.0,0.02,27.97,0.0,0.38005005362888833
2016,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,80.19,3.89,61.35,0.0,0.03,29.52,0.0,0.5054200542005419
2017,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,83.43,10.77,65.33,0.0,0.03,28.3,0.0,0.25795053003533613
2018,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,96.47,11.48,70.77,0.0,0.04,28.46,0.0,0.4982431482782853
2019,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,93.65,11.25,72.19,0.0,0.02,27.18,0.0,0.37490802060338513
2020,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,96.2,15.25,79.37,0.0,0.08,20.99,0.0,0.071462601238685
2021,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,92.88,11.24,79.18,0.0,0.14,4.3,0.0,0.5395348837209287
2022,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,78.96,15.67,81.03999999999999,26.99,0.21,5.11,0.0,1.7671232876712315
2023,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,86.13,10.22,73.84,16.29,1.0,3.89,0.0,4.462724935732646
2024,QPR1V.HE,QPR Software Oyj,Software & IT Services,Information Technology,76.85,11.92,54.63,15.22,0.42,4.72,0.0,5.317796610169489
