Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2013,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,2784.17,1779.55,950.52,0.0,168.15,407.52,0.0,-0.27986356497840564
2014,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,4838.35,2769.43,1619.1799999999998,0.0,239.47,849.42,0.0,0.2475453839090211
2015,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,5184.86,3006.47,1778.9299999999998,0.0,93.99,967.97,0.0,0.31557796212692546
2016,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,5859.72,3538.18,1965.68,0.0,113.61,921.77,0.0,0.2628095945843327
2017,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,6876.13,4193.13,2293.53,0.0,106.8,1455.54,0.0,0.19420283880896422
2018,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,8238.11,4954.85,2693.28,0.0,128.3,1547.71,0.98,0.2981100155615391
2019,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,9204.4,5629.1,2965.77,0.0,146.11,1629.66,2.81,0.2838765796614941
2020,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,10173.41,6036.5,3473.7,0.0,129.99,1957.88,1.04,0.2722010087190901
2021,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,10123.29,6213.68,3380.44,0.0,113.25,1900.82,0.0,0.2188108290106378
2022,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,11514.8,7419.68,3539.29,0.0,148.23,2194.09,1.88,0.1856127360574138
2023,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,12952.53,8068.71,3946.27,0.0,210.01,2414.22,0.0,0.3013561315870139
2024,SCTS.ST,Scandi Standard AB (publ),Food & Tobacco,Consumer Staples,13245.38,8012.92,4334.44,0.0,248.15,2684.36,0.0,0.24209495000670533
