Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,13.45,3.7,16.62,0.0,0.06,9.36,0.0,-0.7403846153846155
2013,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,11.4,4.62,18.92,0.0,0.06,20.32,0.0,-0.6003937007874016
2014,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,19.33,6.14,27.69,0.0,0.17,33.75,0.0,-0.43466666666666676
2015,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,20.14,6.31,31.65,0.0,0.29,84.83,0.0,-0.21348579511965102
2016,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,17.9,5.15,48.6,0.0,0.07,53.14,0.0,-0.6759503199096726
2017,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,63.42,25.69,86.07,0.0,1.15,197.07,0.0,-0.2511290404424823
2018,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,66.94,41.76,121.18,0.0,9.04,266.9,0.0,-0.39355563881603595
2019,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,89.67,37.22,147.25,0.0,13.079999999999998,270.55,0.0,-0.39874330068379227
2020,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,98.43,26.95,175.84,0.0,126.57,555.44,0.0,-0.4157604781794613
2021,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,90.85,30.71,231.35,0.0,4.609999999999999,778.35,0.0,-0.2258880966146335
2022,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,126.0,46.48,213.73,0.0,15.06,1167.24,0.0,-0.12788286899009627
2023,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,235.22,49.99,265.5,0.0,36.24,1205.84,0.0,-0.09662144231407153
2024,SIVEH.ST,Sivers Semiconductors AB,Semiconductors & Semiconductor Equipment,Information Technology,247.87,63.87,249.79,0.0,44.33,1216.03,0.0,-0.0905569763903851
