Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2008,SYN.IC,Syn hf,Telecommunications Services,Communication Services,891.2,534.61,239.36,0.0,133.07,-69.41,0.0,0.22820919175911217
2009,SYN.IC,Syn hf,Telecommunications Services,Communication Services,689.22,429.6,176.25,0.0,80.62,184.57,0.0,0.014899496126131008
2010,SYN.IC,Syn hf,Telecommunications Services,Communication Services,627.74,377.28,173.86,0.0,50.57,189.4,0.0,0.13743400211193255
2011,SYN.IC,Syn hf,Telecommunications Services,Communication Services,626.41,382.48,181.4,0.0,34.14,193.89,0.0,0.14642322966630536
2012,SYN.IC,Syn hf,Telecommunications Services,Communication Services,621.3,356.48,189.68,0.0,32.45,295.07,0.0,0.14467753414444007
2013,SYN.IC,Syn hf,Telecommunications Services,Communication Services,636.2,350.88,192.99,0.0,52.68,399.43,0.0,0.09926645469794468
2014,SYN.IC,Syn hf,Telecommunications Services,Communication Services,715.21,377.71,461.35,0.0,50.46,498.66,0.0,-0.34955681225684826
2015,SYN.IC,Syn hf,Telecommunications Services,Communication Services,841.03,446.74,527.39,0.0,43.94,617.55,0.0,-0.28668124038539394
2016,SYN.IC,Syn hf,Telecommunications Services,Communication Services,952.16,511.26,623.38,0.0,60.66,533.62,0.0,-0.4556425921067426
2017,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1108.86,608.44,713.52,0.0,64.12,803.96,0.0,-0.3448181501567244
2018,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1567.25,960.25,965.46,0.0,110.93,797.23,0.0,-0.5887761373756633
2019,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1423.73,904.72,876.8399999999999,0.0,163.42,638.5,0.0,-0.81636648394675
2020,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1458.45,1005.26,805.33,0.0,74.71,574.53,0.0,-0.7429551111343184
2021,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1475.12,994.39,801.9200000000001,0.0,62.83,715.66,0.0,-0.5365955900846773
2022,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1633.42,1063.64,865.29,0.0,117.13,656.17,0.0,-0.6288614231068168
2023,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1666.95,1097.02,941.64,0.0,135.76,767.54,0.0,-0.661164238997316
2024,SYN.IC,Syn hf,Telecommunications Services,Communication Services,1687.39,1119.13,983.66,0.0,153.48000000000002,708.27,0.0,-0.8031965211007102
