Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,1559.19,0.0,0.0,0.0,0.0,471.47,0.81,3.3014101804014566
2005,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,1641.09,811.37,624.23,0.0,0.0,464.69,0.8,0.44144879589250013
2006,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,1817.1,1002.92,668.14,0.0,0.0,477.5,0.93,0.30524841669627734
2007,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,1673.21,1009.31,477.99,0.0,9.12,498.32,1.28,0.3538630904723781
2008,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,2950.24,0.0,2758.23,0.0,0.0,640.32,0.13,0.2998048247326095
2009,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,2874.79,1941.82,782.75,0.0,41.91,555.35,-0.51,0.19520942974551225
2010,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,3168.64,0.0,2970.98,0.0,0.0,535.17,5.84,0.36535369031995685
2011,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,3711.36,2621.35,842.44,0.0,30.12,710.09,5.44,0.30390060514583617
2012,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,3599.3,2726.23,755.53,0.0,30.05,656.67,5.16,0.1321940679630724
2013,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,3719.61,2754.58,789.12,0.0,30.44,855.51,5.86,0.1688821296307048
2014,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,4035.08,2943.85,867.22,0.0,31.86,941.12,0.0,0.20417162529751784
2015,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,3987.78,2846.5,856.2,0.0,39.26,984.72,0.0,0.24963441384352927
2016,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,4248.44,3109.23,853.23,0.0,29.39,1039.92,0.0,0.24674013385645008
2017,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,4687.13,3457.35,922.18,0.0,29.93,1105.28,0.0,0.2512214099594675
2018,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,5193.76,3669.5,1206.83,0.0,38.37,1155.72,0.0,0.24145986917246415
2019,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,5785.74,3830.36,1474.62,0.0,45.57,1201.23,0.0,0.36228698916943447
2020,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,5085.83,3167.47,1432.32,0.0,47.48,1189.02,0.0,0.3688415670047604
2021,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,5825.57,3550.69,1552.86,0.0,40.85,1295.38,0.0,0.5258456977875215
2022,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,5659.57,3353.15,1614.0,0.0,0.0,1506.43,0.0,0.45964299701944306
2023,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,6119.32,3862.58,1627.82,0.0,107.05,1571.35,0.0,0.33211569669392554
2024,ASPO.HE,Aspo Oyj,Freight & Logistics Services,Industrials,6885.77,4403.32,1848.63,0.0,137.39,1898.02,323.85,0.22342891348278732
