Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2002,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1353.94,935.22,344.74,0.0,53.5,286.24,4.57,0.0704239881709708
2003,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1373.57,957.59,334.23,0.0,0.0,329.32,3.13,0.24590163934426196
2004,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1557.77,1054.07,434.68,0.0,0.0,354.47,4.62,0.19220808153944702
2005,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1722.44,1116.1,489.87,0.0,0.0,414.74,4.51,0.27780560524746606
2006,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1966.89,1251.47,516.64,0.0,0.0,524.85,4.93,0.37521235229718014
2007,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2346.91,1454.91,598.22,0.0,44.05,560.64,10.39,0.4373325394462633
2008,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2640.3,1646.04,661.87,0.0,93.43,675.46,13.03,0.3470783889381112
2009,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2816.64,1765.39,780.07,0.0,62.03,830.89,15.04,0.2472426796543446
2010,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2649.01,1416.69,1008.96,0.0,26.01,938.91,13.13,0.20729171043233494
2011,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2983.36,1846.31,835.05,0.0,28.39,1103.24,0.09,0.24798564346115873
2012,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3422.11,2181.06,965.27,0.0,42.3,1190.97,0.09,0.19602706832569325
2013,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3945.36,2534.53,1098.82,0.0,26.61,1402.67,0.0,0.2034690982198236
2014,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4876.31,3230.77,1351.35,0.0,34.44,1720.87,0.0,0.15094109374909234
2015,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,5384.81,3531.41,1525.67,0.0,20.78,1882.57,0.0,0.1630483859829916
2016,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6031.3,3963.54,1712.94,0.0,22.5,2110.54,0.0,0.15745733319434846
2017,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,6581.07,4313.8,1805.3,0.0,23.59,2308.61,0.0,0.18988915407972745
2018,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7088.78,4751.13,1903.37,0.0,26.31,2400.5,0.0,0.16995209331389283
2019,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,7727.53,5200.04,2007.5,0.0,31.18,2581.22,0.0,0.18937169245550547
2020,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,8487.89,5558.18,2222.11,0.0,37.42,3217.22,20.89,0.20696640941783914
2021,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,8754.17,5715.92,2325.21,0.0,27.74,3245.47,24.65,0.20956417501498414
2022,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,9450.78,6198.11,2442.81,0.0,27.76,3639.45,36.63,0.21275380296402718
2023,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,11634.74,7673.8,2795.82,0.0,71.31,5460.86,7.05,0.20004169783335854
2024,SYSR.ST,Systemair AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,12290.01,8070.24,3051.5,0.0,97.16,5689.41,8.36,0.18798758110629255
