Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2012,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2451.5,295.06,1606.69,296.53,33.76,551.22,4362.79,12.71
2013,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2668.19,634.53,1890.25,433.58,10.01,586.17,4816.92,665.29
2014,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2461.29,823.44,2130.47,668.88,14.46,667.07,4533.0,630.92
2015,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2305.93,732.48,1500.48,79.68,23.04,716.16,4409.29,320.22
2016,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2084.79,617.45,1399.24,70.82,19.98,635.61,3928.96,282.36
2017,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2004.47,515.88,1510.24,108.3,49.23,663.56,3922.3,361.08
2018,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2034.05,416.12,1382.12,66.38,3.96,1280.08,3867.96,72.01
2019,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2090.14,631.77,1452.47,97.42,24.6,1403.26,3938.21,526.7
2020,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,2852.67,1369.24,2145.52,525.9,896.76,1447.8,4772.95,613.37
2021,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,5436.23,1690.94,4161.77,381.44,2094.4,3944.52,12347.16,527.39
2022,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,5548.27,958.26,4307.99,460.26,1996.2,4476.78,13643.18,6.06
2023,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,5386.72,2379.06,3952.79,165.54,1971.92,2921.54,12702.85,1555.97
2024,ANORA.HE,Anora Group Oyj,Beverages,Consumer Staples,5196.29,2135.7,4287.88,410.67,2001.56,2875.84,12583.58,396.23
