Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,333.91,24.42,325.08,191.73,,1132.18,2739.47,71.58
2005,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,420.81,12.41,302.27,169.72,,1312.14,3246.46,67.34
2006,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,342.65,20.44,504.27,403.21,,1031.54,2630.02,210.9
2007,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,360.66,0.14,304.41,206.48,,798.83,2384.72,69.36
2008,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,406.68,61.71,564.95,442.68,,934.06,2806.21,190.75
2009,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,349.57,99.38,614.24,517.42,,799.05,2394.63,290.07
2010,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,386.88,86.85,268.08,180.63,0.0,749.06,2365.14,192.25
2011,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,528.05,164.23,252.45,116.21,34.06,732.98,2498.12,345.15
2012,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,474.58,63.41,300.33,128.03,61.06,739.66,2237.46,318.33
2013,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,541.17,102.33,504.23,258.96,59.58,925.58,2803.75,336.87
2014,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,745.1,223.5,848.64,659.67,70.64,845.77,3314.42,284.53
2015,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,726.8,107.56,381.82,168.66,66.7,1260.37,3795.52,398.14
2016,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,703.23,66.59,668.41,461.52,53.58,1233.83,4086.49,232.56
2017,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,811.13,173.3,677.43,515.09,12.02,1533.56,4903.78,269.21
2018,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,1159.23,379.26,1281.07,1113.93,7.1,1943.87,6609.07,315.15
2019,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,1487.86,526.44,611.01,280.5,85.29,1665.26,6895.3,558.4
2020,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,1227.03,226.24,1065.07,667.49,111.1,1974.5,8014.16,462.7
2021,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,1685.53,769.77,628.39,261.47,123.49,1817.04,7968.2,838.72
2022,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,2920.36,1698.19,2894.85,2413.96,187.77,2086.45,9885.48,797.45
2023,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,1904.13,382.28,715.45,288.35,176.66,2261.69,10621.96,529.78
2024,BRIMH.IC,Brim hf,Food & Tobacco,Consumer Staples,2059.28,613.47,1282.03,894.7,89.69,2895.4,11719.57,535.22
