Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2009,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,446.2,227.8,2648.4,2306.5,,18346.7,21068.9,536.5
2010,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,215.2,149.1,3807.7,3513.2,,19955.6,22225.6,517.0
2011,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,188.4,48.3,3992.0,3616.5,,21843.9,23740.3,517.2
2012,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,255.0,64.8,4369.3,3910.0,,23499.1,25884.8,656.0
2013,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,528.1,177.4,3362.1,2809.1,,24429.8,26809.1,508.4
2014,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,661.9,198.2,3412.4,2821.2,,26679.5,30849.6,668.2
2015,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1062.0,212.0,3501.0,3123.0,,28823.0,33619.0,849.0
2016,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,914.0,243.0,3926.0,3379.0,,35629.0,38890.0,1097.0
2017,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1251.0,189.0,5263.0,4663.0,,39875.0,43410.0,1222.0
2018,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1921.0,230.0,4710.0,4239.0,,44714.0,47709.0,1389.0
2019,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,998.0,317.0,3067.0,2539.0,,49095.0,51160.0,1352.0
2020,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1021.0,217.0,2683.0,2051.0,26.0,56834.0,59141.0,1521.0
2021,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1149.0,309.0,4622.0,3791.0,16.0,67568.0,70292.0,1488.0
2022,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1278.0,226.0,3200.0,2423.0,14.0,77404.0,82162.0,1509.0
2023,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1672.0,171.0,1811.0,958.0,13.0,68470.0,73336.0,1378.0
2024,ENTRA.OL,Entra ASA,Real Estate Operations,Real Estate,1617.0,264.0,8572.0,7949.0,13.0,60471.0,64451.0,1353.0
