Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,439.14,52.12,243.16,36.45,5.33,,597.42,86.51
2005,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,501.92,90.18,267.58,8.18,7.35,64.51,641.37,121.07
2006,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,555.35,130.53,297.94,6.36,3.5,,687.12,105.79
2007,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,610.53,132.63,312.07,6.13,0.0,69.37,863.13,60.05
2008,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,612.33,73.8,406.05,31.29,0.0,106.43,970.37,132.34
2009,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,486.95,35.86,365.0,83.58,0.0,151.73,748.18,75.45
2010,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,436.97,42.63,255.71,9.01,1.53,166.28,677.22,91.32
2011,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,414.67,17.61,266.61,6.92,0.0,178.08,674.41,82.51
2012,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,412.43,35.22,273.68,4.24,3.81,176.87,650.32,77.81
2013,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,475.95,79.52,352.55,3.49,12.37,201.67,790.9,145.74
2014,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,514.73,104.57,384.94,8.37,0.0,214.48,909.0,125.18
2015,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,485.12,60.89,371.33,64.31,14.94,124.45,915.93,37.21
2016,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,502.15,47.05,413.5,134.98,0.0,130.27,970.54,32.69
2017,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,503.65,40.76,384.2,50.52,1.65,142.2,1004.03,142.71
2018,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,481.97,73.64,374.89,34.5,0.0,141.32,996.74,142.09
2019,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,501.43,92.44,440.54,91.85,0.0,152.63,1105.9,129.18
2020,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,547.54,152.33,420.37,0.0,12.11,163.66,1139.33,272.56
2021,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,416.43,23.29,463.44,87.76,6.99,172.54,1123.75,74.39
2022,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,342.17,0.0,422.04,66.52,2.83,191.76,949.12,159.68
2023,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,366.45,0.0,380.45,19.77,2.66,193.8,962.35,129.97
2024,GYLDb.CO,Gyldendal A/S,Media & Publishing,Communication Services,527.57,125.1,369.85,0.0,8.05,190.28,1014.5,125.14
