Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,198.44,62.99,78.75,16.23,5.32,67.99,269.67,71.51
2005,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,217.49,60.0,77.9,15.14,2.86,66.48,289.85,51.45
2006,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,228.73,47.61,80.72,14.81,1.73,82.18,313.94,55.52
2007,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,240.26,49.7,82.73,12.73,0.14,78.73,322.62,63.46
2008,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,289.06,59.34,77.22,1.8,0.17,95.48,390.28,66.18
2009,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,254.89,84.97,70.16,0.0,4.85,80.55,339.77,86.76
2010,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,259.15,75.29,67.08,,0.23,72.39,339.17,36.49
2011,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,241.09,12.53,80.02,,0.12,115.79,375.85,5.07
2012,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,220.08,22.8,86.93,,,161.3,403.4,64.31
2013,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,236.89,25.02,83.89,,,152.13,405.63,42.35
2014,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,261.44,36.87,99.5,,7.03,150.97,426.66,82.32
2015,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,275.55,40.79,112.01,,2.17,148.67,442.19,56.47
2016,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,298.37,31.62,130.22,,8.58,126.23,440.32,56.89
2017,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,332.57,61.16,131.4,,5.43,119.2,463.83,91.53
2018,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,517.22,229.6,163.41,0.0,11.18,43.97,565.87,117.38
2019,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,544.47,257.16,298.82,2.47,20.81,397.87,953.4,285.42
2020,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,750.17,429.99,351.76,7.6,5.59,432.34,1198.17,294.64
2021,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,978.5,597.95,411.25,18.0,25.08,332.25,1330.4,364.82
2022,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,822.79,342.95,355.26,22.74,4.36,362.34,1201.36,203.3
2023,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,961.9,414.34,363.92,6.88,0.13,392.59,1378.65,335.69
2024,MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Other,1105.0,475.1,382.79,0.0,0.0,391.59,1533.81,338.21
