Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,286.75,48.36,76.37,6.98,0.99,96.95,405.74,37.22
2005,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,360.47,51.63,210.34,80.25,,,723.82,75.48
2006,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,387.12,30.26,191.03,43.25,31.19,145.37,774.45,106.22
2007,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,436.24,36.96,170.06,41.980000000000004,11.94,127.61,795.83,75.59
2008,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,544.29,60.08,252.64,82.61,7.11,144.85,1056.03,102.91
2009,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,402.27,30.11,217.58,126.82000000000001,3.4,180.29,885.56,15.48
2010,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,407.49,39.58,182.2,72.67,8.71,157.83,843.18,84.65
2011,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,438.4,56.15,145.22,25.66,12.78,156.13,853.44,113.09
2012,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,434.81,57.01,156.27,38.48,17.91,141.49,875.88,80.02
2013,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,521.11,123.89,132.5,13.04,5.45,148.02,1010.46,144.66
2014,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,635.31,187.48,131.58,13.52,4.85,192.49,1158.55,125.97
2015,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,669.28,150.6,157.93,13.72,5.87,225.85,1317.41,112.77
2016,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,1140.31,262.08,1142.36,834.98,19.87,309.34,3392.02,246.43
2017,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,1323.04,321.63,439.82,76.19,18.93,346.76,3665.94,236.02
2018,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,1545.66,362.4,1220.23,801.7,35.78,340.13,3829.05,237.45
2019,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,1551.08,443.02,396.39,0.0,8.27,358.16,3936.91,408.43
2020,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,1947.7,939.26,383.87,,10.36,366.36,4445.42,456.63
2021,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,2055.73,650.28,458.63,,15.68,365.55,4543.59,187.76
2022,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,2307.0,469.55,615.96,,46.84,431.78,5094.14,237.96
2023,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,2932.62,891.94,744.67,,96.15,520.41,6025.45,701.84
2024,VBGb.ST,VBG Group AB (publ),Consumer Goods Conglomerates,Consumer Discretionary,2997.42,976.34,669.75,,81.89,1076.52,6707.86,809.9
