Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,295.61,36.15,170.67,0.0,0.54,237.29,0.0,0.3719077921530618,0.0,10.01,119.01
2005,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,353.89,73.17,200.01,0.0,0.95,334.58,0.0,0.2383884272819653,0.0,12.3,381.83
2006,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,547.09,195.76,309.20000000000005,2.59,0.61,478.88,0.0,0.0921107584363514,0.0,13.74,521.59
2007,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,689.06,235.67,389.56,4.77,0.41,424.45,0.0,0.1606549652491458,0.0,19.45,379.3
2008,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,876.81,299.81,493.04,5.97,0.87,523.19,0.0,0.1702249660735106,0.0,24.33,420.11
2009,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,814.28,259.87,514.37,9.75,0.47,485.92,0.0,0.1014981890023048,0.0,24.76,435.05
2010,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,890.09,315.11,531.27,16.02,0.44,615.23,0.0,0.0963704630788486,0.0,22.11,601.77
2011,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1123.13,382.18,665.29,2.9,0.46,669.68,0.0,0.116622864651774,0.0,24.89,653.52
2012,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1172.86,362.29,720.04,5.12,0.45,678.44,0.0,0.1403219149814279,0.0,27.37,846.5
2013,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1302.82,413.37,829.9800000000001,8.51,1.75,786.17,0.0,0.0842438658305453,0.0,34.08,1037.09
2014,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1468.42,473.87,908.01,11.86,2.36,836.42,0.0,0.1148226967313073,0.0,43.42,1282.98
2015,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,1817.37,676.96,1061.28,19.13,3.770000000000001,959.32,0.0,0.0984968519367885,0.0,53.26,1882.93
2016,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,2155.41,847.76,1237.94,21.77,4.29,914.8,0.0,0.0953104503716657,0.0,70.45,1587.97
2017,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,2440.04,937.68,1420.9399999999998,28.53,8.68,983.14,0.0,0.1030066928413046,0.0,94.82,2251.49
2018,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,2755.09,1041.35,1572.3300000000002,29.03,15.920000000000002,1306.68,0.0,0.1182538953684146,0.0,103.95,3301.42
2019,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,3195.62,1326.08,1719.71,24.2,17.68,1322.1,0.0,0.1182588306482111,0.0,180.53,5470.89
2020,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,3896.4,1755.27,1992.72,30.7,19.45,1578.83,0.0,0.1011255169967635,0.0,221.07,9761.65
2021,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,4086.0,1771.9,2089.6,26.06,20.05,1649.45,0.0,0.1397496135075327,0.0,242.53,13747.59
2022,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,5914.65,2841.88,2695.56,32.3,39.91,1887.24,0.0,0.1958415463851973,0.0,291.69,12460.07
2023,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,7376.99,3691.48,3428.73,50.76,98.53,2130.31,0.0,0.0981124812820669,0.0,348.35,11552.88
2024,ANODb.ST,Addnode Group AB (publ),Software & IT Services,Information Technology,7888.85,3619.49,3834.08,58.99,197.3,2527.06,0.0,0.1175160067430136,0.0,397.65,14356.36
