Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2012,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,83.33,27.08,6.02,0.0,25.3,211.17,0.0,0.1180565421224606,0.0,0.0,
2013,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,85.09,26.15,8.67,0.0,17.12,250.92,0.0,0.1321138211382114,0.0,0.0,137.9
2014,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,81.6,32.05,6.73,0.0,18.55,280.05,0.0,0.0866630958757364,0.0,0.0,156.41
2015,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,96.6,34.36,11.09,0.0,17.31,339.16,0.0,0.0997759169713409,0.0,0.0,229.2
2016,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,99.98,37.52,11.42,0.0,20.93,355.91,0.0,0.0846000393357871,0.0,0.0,274.83
2017,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,98.24,35.66,12.66,0.0,14.42,415.98,0.0,0.0853406413769892,0.0,0.0,351.73
2018,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,92.97,35.75,14.44,0.0,10.15,458.48,0.0,0.0711699528878031,0.0,0.0,314.6
2019,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,100.28,39.62,15.85,0.0,9.86,505.94,0.0,0.0690793374708463,0.0,0.0,459.06
2020,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,93.32,43.26,16.01,0.0,12.32,574.19,0.0,0.0378446158936937,0.0,0.0,445.58
2021,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,105.92,39.64,16.25,0.0,12.28,653.06,0.0,0.0578047958839922,0.0,0.0,504.91
2022,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,104.53,36.2,19.23,0.0,17.64,844.3,0.0,0.0372616368589363,0.0,0.0,506.31
2023,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,143.39,40.1,19.23,0.0,56.03,960.3,0.0,0.0291887951681765,0.0,0.0,458.93
2024,FED.CO,Fast Ejendom Danmark A/S,Real Estate Operations,Real Estate,159.32,49.38,19.11,0.0,71.13,1107.87,0.0,0.0177818697139556,0.0,0.0,499.42
