Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,4.61,0.0,510.28,425.85,2.03,1308.88,0.0,-0.0625343805390868,0.0,0.0,3297.44
2005,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,105.92,0.0,566.05,474.93,1.45,1198.04,0.0,0.0111432005609162,0.0,0.0,4786.29
2006,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,146.23,0.0,655.67,553.51,1.11,1774.16,0.0,0.0242142760517653,0.0,0.0,16627.54
2007,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,569.56,0.0,1039.74,913.39,1.24,3067.69,0.0,0.1440725757817771,0.0,0.0,14636.48
2008,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,764.94,0.0,1562.73,1404.14,1.95,2855.41,0.0,0.211668376870572,0.0,0.0,11888.97
2009,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,687.16,0.0,1271.0800000000002,1096.68,1.74,1446.14,0.0,0.3533682769303109,0.0,0.0,4105.21
2010,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,625.77,0.0,478.71,434.17,1.51,1128.85,0.0,0.513549187225938,0.0,0.0,3074.28
2011,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,367.16,0.0,628.11,557.12,2.13,506.2,0.0,0.580877123666535,0.0,0.0,1757.19
2012,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,486.75,0.0,603.9499999999999,539.05,2.73,377.21,0.0,1.1111052199040323,0.0,0.0,3852.87
2013,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,694.99,0.0,622.4499999999999,552.55,3.48,737.32,0.0,0.8430667824011284,0.0,0.0,12266.55
2014,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,953.5,0.0,656.16,566.99,4.55,2468.05,0.0,0.3483640931099451,0.0,0.0,24918.44
2015,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,1358.96,0.0,694.3,584.89,0.14,4485.27,0.0,0.2785584814292116,0.0,0.0,70262.42
2016,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,2266.09,0.0,952.41,824.62,0.27,5901.66,0.0,0.362276037589424,0.0,0.0,86556.61
2017,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,2967.59,0.0,1281.24,1096.84,3.52,8297.07,0.0,0.3350182654840805,0.0,0.0,83285.76
2018,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,3897.77,0.0,2119.33,1843.99,0.54,10633.83,0.0,0.3406007054842893,0.0,0.0,87105.7
2019,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,7076.72,0.0,3597.7,3146.67,9.23,18510.8,0.0,0.3574378200834108,0.0,0.0,127034.96
2020,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,14548.61,0.0,5464.91,4513.8,14.39,26921.74,0.0,0.504540568328793,0.0,0.0,227301.08
2021,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,11503.44,0.0,7467.610000000001,5714.14,17.77,29886.63,0.0,0.3256372498337885,0.0,0.0,232726.24
2022,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,19686.2,0.0,11180.62,7548.75,28.5,38474.11,0.0,0.4165354312289485,0.0,0.0,273576.27
2023,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,25229.24,346.11,16734.24,11685.02,41.35,47432.78,0.0,0.417275985088793,0.0,0.0,213666.05
2024,GMAB.CO,Genmab A/S,Biotechnology & Medical Research,Health Care,33531.36,1536.36,21090.06,15191.72,193.39,58385.6,0.0,0.4436585390918308,0.0,0.0,155890.36
