Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,367.65,261.37,79.95,0.0,0.0,194.96,42.39,0.1109332209816724,0.0,0.0,301.13
2005,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,399.92,253.95,106.74,0.0,10.52,241.5,49.04,0.0988159977972053,0.0,0.0,459.98
2006,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,371.39,234.93,101.69,0.0,13.13,218.13,46.23,0.0818580723256165,0.0,0.0,351.14
2007,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,380.68,247.86,0.0,0.0,15.72,231.29,45.46,0.4231255645889792,0.0,0.0,281.34
2008,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,329.73,235.91,0.0,0.0,15.18,282.65,55.56,0.2325182578871116,0.0,0.0,143.41
2009,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,329.02,227.96,0.0,0.0,15.76,262.0,49.7,0.2736605710619184,0.0,0.0,81.13
2010,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,312.12,213.59,4.53,0.0,11.13,266.71,46.65,0.2644562164922134,0.0,4.53,152.46
2011,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,330.75,225.16,3.92,0.0,11.83,315.46,41.93,0.2513780463918968,0.0,3.92,102.43
2012,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,337.51,225.99,62.38,0.0,8.85,316.46,40.77,0.1127844805867367,0.0,3.63,204.49
2013,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,393.87,267.15,79.77,0.0,8.45,409.73,53.15,0.0831749049429658,0.0,4.73,348.93
2014,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,451.61,305.98,85.37,0.0,8.57,495.31,70.58,0.0913428404813656,0.0,4.84,662.69
2015,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,527.08,356.19,105.2,0.0,8.12,593.39,82.62,0.0851614621085487,0.0,5.35,935.27
2016,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1087.52,777.8,205.27,0.0,25.55,751.27,98.28,0.0928726973103408,0.0,11.27,1298.34
2017,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1184.29,839.12,223.1800000000001,0.0,26.57,895.73,110.97,0.0947849408959967,0.0,10.52,1547.44
2018,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1468.42,1046.36,261.95,0.0,26.06,980.39,109.38,0.1230076071097572,0.0,14.47,1451.94
2019,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1593.16,1125.27,283.01000000000005,0.0,34.3,1056.38,118.26,0.1281924674793979,0.0,16.81,1741.75
2020,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1735.39,1222.28,282.56,0.0,35.37,1217.98,132.76,0.1444985711535899,0.0,21.42,2822.56
2021,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1755.12,1213.59,304.29,0.0,33.82,1305.71,138.86,0.1408169905231314,0.0,23.37,3940.05
2022,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,1955.76,1397.06,345.22,0.0,39.55,1418.93,148.54,0.1109622512711567,0.0,26.26,4088.52
2023,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,3674.6,2684.48,683.48,0.0,147.44,2858.72,164.31,0.0526623950142737,0.0,40.06,6642.64
2024,HAPD.IC,Hampidjan hf,Textiles & Apparel,Consumer Discretionary,3704.64,2690.61,742.16,0.0,157.22,3062.47,152.62,0.0356599659729587,0.0,44.42,5336.42
