Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,75.8,0.0,83.35,0.0,0.43,434.49,0.0,-0.0183663605606573,0.0,0.0,1023.11
2005,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,88.66,0.0,75.28,0.0,0.99,320.95,0.0,0.0386041439476553,0.0,0.0,652.34
2006,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,109.68,0.0,150.99,0.0,0.6,169.63,0.0,-0.2470671461416023,0.0,0.0,635.39
2007,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,216.36,0.0,145.71,0.0,0.15,322.93,0.0,0.2183135664075806,0.0,0.0,840.98
2008,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,83.12,0.0,86.89,0.0,0.07,255.75,0.0,-0.0150146627565982,0.0,0.0,841.75
2009,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,21.14,0.0,59.48,0.0,0.01,124.49,0.0,-0.3080568720379146,0.0,0.0,1314.62
2010,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,46.11,0.67,161.58,128.83,0.0,526.89,0.0,0.0240847235665888,0.0,0.0,3387.04
2011,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,603.35,207.82,313.95,158.98,7.98,950.64,0.0,0.244656231591349,0.0,0.0,1765.34
2012,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,146.66,52.7,270.95,174.76,4.62,748.92,0.0,-0.0091465042995246,0.0,0.0,1807.42
2013,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,402.66,64.77,320.89,207.06,1.93,803.52,0.0,0.2764461369972123,0.0,0.0,2436.91
2014,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,1623.12,159.85,385.31,225.75,1.43,1900.33,0.0,0.6852915020022838,0.0,0.0,2881.69
2015,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,453.46,36.59,368.7000000000001,266.16,0.0,1517.63,0.0,0.2071189947483905,0.0,0.0,1806.95
2016,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,91.36,15.66,386.84,301.55,0.0,1643.35,0.0,-0.0058356406121641,0.0,0.0,2449.74
2017,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,35.48,0.0,375.16,0.0,0.06,514.39,0.0,-0.660471626586831,0.0,0.0,959.09
2018,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,22.35,0.0,336.95,0.0,0.01,300.18,0.0,-1.0480711573056165,0.0,0.0,567.65
2019,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,8.12,0.0,121.23,0.0,1.22,172.96,0.0,-0.6610198889916743,0.0,0.0,282.39
2020,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,14.28,0.0,81.6,0.0,0.56,148.18,0.0,-0.45809151032528,0.0,0.0,210.5
2021,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,25.59,0.0,95.47,0.0,0.95,273.91,0.0,-0.2585885874922419,0.0,0.0,608.18
2022,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,4.19,0.0,86.47,0.0,0.88,181.47,0.0,-0.4582575632335923,0.0,0.0,519.37
2023,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,7.6,0.0,97.21,0.0,0.91,219.4,0.0,-0.4125797629899726,0.0,0.0,320.45
2024,MEDIVIR.ST,Medivir AB,Biotechnology & Medical Research,Health Care,3.54,0.0,131.26,0.0,0.79,118.76,0.0,-1.0820983496126642,0.0,0.0,327.51
