Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,685.5,364.48,276.6,18.08,17.98,242.0,0.0,0.18396694214876,0.0,0.0,
2005,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,697.5,360.08,275.45,12.34,11.56,276.19,0.0,0.2271986675839096,0.0,0.0,
2006,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,763.83,388.55,303.75,12.49,0.0,342.89,0.0,0.2450348508267958,0.0,0.0,
2007,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,902.63,467.09,332.92,13.09,9.79,379.93,0.0,0.2787881978259152,0.0,0.0,812.84
2008,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,1088.22,559.8,406.7,14.71,0.0,470.49,0.0,0.289974282131395,0.0,0.0,531.3
2009,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,865.8,449.03,388.95,13.74,6.42,416.45,0.0,0.0843798775363188,0.0,0.0,627.98
2010,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,1422.72,836.7,501.78,16.54,21.42,432.18,0.0,0.1836271923735481,0.0,0.0,1006.32
2011,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,1728.17,1011.22,568.23,21.94,31.44,483.14,0.0,0.2881566419671318,0.0,0.0,1016.55
2012,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,1953.12,1174.22,608.12,16.84,21.14,514.65,0.0,0.3234819780433302,0.0,0.0,1383.96
2013,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,2399.98,1533.83,715.97,13.27,23.56,584.13,0.0,0.2394843613579169,0.0,0.0,2097.82
2014,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,2596.74,1665.11,755.8100000000001,9.46,23.15,702.87,0.0,0.230668544681093,0.0,0.0,1880.88
2015,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,3057.62,1979.52,832.1000000000001,6.12,21.03,876.08,0.0,0.2637772806136423,0.0,0.0,3132.64
2016,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,3051.23,1960.28,861.77,7.66,19.05,931.44,0.0,0.233820750665636,0.0,0.0,2077.54
2017,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,3048.84,1886.92,875.77,13.75,21.4,1076.5,0.0,0.2587087784486763,0.0,0.0,2930.72
2018,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,3328.11,2080.74,961.56,41.3,0.0,1205.09,0.0,0.2714403073629358,0.0,0.0,3086.78
2019,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,4008.68,2527.84,1159.13,60.67,41.22,1292.29,0.0,0.2639964713802626,0.0,0.0,4429.17
2020,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,3761.09,2335.59,1100.15,70.93,59.97,1358.3,0.0,0.2475962600309209,0.0,0.0,5174.63
2021,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,4050.72,2524.06,1101.83,57.13,40.79,1673.23,0.0,0.2636636923794099,0.0,0.0,7464.76
2022,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,4920.7,3145.93,1324.23,68.89,60.72,2058.08,0.0,0.2228824924201197,0.0,0.0,5703.29
2023,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,6158.57,3922.98,1623.89,78.23,128.49,2388.05,0.0,0.2351039551098174,0.0,0.0,6351.39
2024,NMAN.ST,Nederman Holding AB,Professional & Commercial Services,Industrials,6000.18,3636.99,1787.6799999999998,100.78,148.79000000000002,2793.95,1.03,0.1887312252681595,0.0,0.0,7840.96
