Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,NSISb.CO,Novozymes A/S,Chemicals,Materials,6736.41,3192.71,2353.47,877.49,93.37,4341.19,0.0,0.4547946530789946,0.0,0.0,19056.73
2005,NSISb.CO,Novozymes A/S,Chemicals,Materials,6753.65,2806.4,2190.29,769.88,102.15,4027.49,0.0,0.6020350143637848,0.0,0.0,21742.33
2006,NSISb.CO,Novozymes A/S,Chemicals,Materials,7338.19,3395.07,2561.1400000000003,949.37,276.18,3707.06,0.0,0.5543935086025042,0.0,0.0,29098.16
2007,NSISb.CO,Novozymes A/S,Chemicals,Materials,8000.21,3752.72,2625.5,959.42,196.83,3890.9,0.0,0.6128607777120975,0.0,0.0,33593.69
2008,NSISb.CO,Novozymes A/S,Chemicals,Materials,9000.71,4184.35,3040.75,1098.29,217.67,5825.48,0.0,0.4559675769206999,0.0,0.0,29586.69
2009,NSISb.CO,Novozymes A/S,Chemicals,Materials,9905.03,4394.42,3404.86,1295.58,240.36,6500.53,0.0,0.4862634277512757,0.0,0.0,32659.51
2010,NSISb.CO,Novozymes A/S,Chemicals,Materials,10454.0,4635.71,3407.98,1318.04,73.1,8177.4,0.0,0.4469941546212733,0.0,0.0,44057.26
2011,NSISb.CO,Novozymes A/S,Chemicals,Materials,10995.86,4814.74,3785.26,1531.68,155.89,9167.31,15.61,0.410724475439185,0.0,0.0,50050.0
2012,NSISb.CO,Novozymes A/S,Chemicals,Materials,11283.04,4832.0,3772.4,1533.67,106.46,9405.87,12.8,0.4359267285083776,0.0,0.0,42510.03
2013,NSISb.CO,Novozymes A/S,Chemicals,Materials,12302.1,5268.14,4009.230000000001,1600.34,130.91,12357.98,13.42,0.3632701230256882,0.0,0.0,68058.81
2014,NSISb.CO,Novozymes A/S,Chemicals,Materials,13969.68,5953.85,4601.62,2064.23,95.3,13680.92,13.35,0.393094337996841,0.0,0.0,100835.11
2015,NSISb.CO,Novozymes A/S,Chemicals,Materials,16793.94,7044.05,5208.97,2274.05,105.55,14896.37,16.72,0.4499013953513322,0.0,0.0,133112.58
2016,NSISb.CO,Novozymes A/S,Chemicals,Materials,17645.85,7506.53,5361.639999999999,2327.08,68.63,14344.87,15.9,0.4899549258152592,0.0,0.0,92296.49
2017,NSISb.CO,Novozymes A/S,Chemicals,Materials,18230.07,7675.42,5473.66,2399.98,63.98,14887.18,17.2,0.4976382781437402,0.0,0.0,143028.22
2018,NSISb.CO,Novozymes A/S,Chemicals,Materials,18540.94,7904.7,5447.61,2402.98,45.1,15159.22,17.25,0.4972506781880107,0.0,0.0,114635.96
2019,NSISb.CO,Novozymes A/S,Chemicals,Materials,18956.54,8466.74,5848.91,2592.78,151.67,15111.18,15.81,0.4681698077409981,0.0,0.0,125003.26
2020,NSISb.CO,Novozymes A/S,Chemicals,Materials,20161.72,8862.12,6125.35,2787.13,135.26,15815.7,15.49,0.4943481822907816,0.0,0.0,140244.1
2021,NSISb.CO,Novozymes A/S,Chemicals,Materials,20433.4,8648.42,6565.58,2745.68,98.4,15924.9,510.32,0.4786476846674399,0.0,0.0,203979.9
2022,NSISb.CO,Novozymes A/S,Chemicals,Materials,23822.95,10825.04,7090.02,2715.76,214.44,19513.46,551.4,0.4191013543079792,0.0,0.0,139449.83
2023,NSISb.CO,Novozymes A/S,Chemicals,Materials,27411.57,12522.73,8179.52,3088.95,341.52,20974.86,559.71,0.439142736539434,0.0,0.0,156477.32
2024,NSISb.CO,Novozymes A/S,Chemicals,Materials,44543.76,23518.08,13696.03,4801.22,1017.88,131507.47,0.0,0.0845046292807549,0.0,0.0,301296.87
