Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6354.93,5017.589999999999,614.59,0.0,194.87,3880.69,0.0,0.136027355959894,673.29,0.0,9134.27
2005,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6730.27,5309.03,415.1,0.0,233.19,4668.13,0.0,0.1655802216305031,692.05,0.0,11465.77
2006,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6973.41,5525.120000000001,542.0,0.0,341.68,4376.58,0.0,0.1290071242842582,760.34,0.0,9562.12
2007,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,7256.12,5607.070000000001,598.62,0.0,430.78,3621.41,0.0,0.1711073863495156,795.55,0.0,7343.02
2008,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,8334.6,6860.95,657.88,0.0,411.78,4966.35,0.0,0.0813454549115548,798.13,0.0,3806.07
2009,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,7940.27,7037.650000000001,710.69,0.0,316.97,5222.48,0.0,-0.0239426479373784,949.03,0.0,4469.83
2010,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6330.6,6004.4,513.46,0.0,241.63,4460.42,0.0,-0.0961546222104643,749.04,0.0,4685.52
2011,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6465.96,5938.63,581.16,0.0,246.29,5952.66,0.0,-0.0504177964137041,684.43,0.0,3113.14
2012,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,7045.65,6526.14,747.65,0.0,309.5,5049.92,0.0,-0.1064650529117294,764.66,0.0,2055.05
2013,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6037.89,5983.66,546.75,0.0,197.23,4607.26,0.0,-0.1497093717307031,523.05,0.0,3525.91
2014,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6639.73,6552.38,584.72,0.0,264.99,4764.07,0.0,-0.1600228376157362,568.47,0.0,2444.14
2015,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,7489.74,6953.85,662.37,0.0,357.61,5704.69,0.0,-0.0848582482133123,711.04,0.0,2417.62
2016,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6926.12,6062.47,600.09,0.0,421.66,6210.0,0.0,-0.0254589371980677,745.63,0.0,2514.93
2017,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6964.31,6695.83,562.16,0.0,500.14,6696.37,0.0,-0.1185448235387231,735.91,0.0,2744.74
2018,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,6926.3,6250.08,567.74,0.0,600.74,5188.28,0.0,-0.094879227798037,776.07,0.0,2536.5
2019,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,7674.55,6089.990000000001,599.99,0.0,764.44,4838.27,0.0,0.045497667554725,819.43,0.0,2293.05
2020,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,8837.35,6576.06,552.79,0.0,783.34,4939.98,0.0,0.1872801104457913,889.93,0.0,2356.39
2021,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,8924.43,7950.18,510.04,0.0,649.3,4831.24,0.0,-0.0383110754174911,1546.18,0.0,2881.71
2022,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,12581.36,9864.330000000002,708.13,0.0,786.72,6830.32,0.0,0.1789345155131822,1548.88,0.0,7627.58
2023,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,12598.1,8860.21,742.75,0.0,1005.59,8092.98,0.0,0.245836515103213,1668.37,0.0,9287.36
2024,ODF.OL,Odfjell SE,Oil & Gas Related Equipment and Services,Energy,13414.76,8923.83,793.01,0.0,875.3000000000001,10567.61,0.0,0.2671010758345548,1733.32,0.0,9286.24
