Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2009,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,221.09,98.39,109.06,10.54,0.0,202.1,0.0,0.1196437407224146,0.0,11.09,205.01
2010,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,218.73,95.75,93.0,7.91,0.0,208.21,0.0,0.1819797320013447,0.0,10.92,204.37
2011,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,235.34,99.63,98.44,7.01,0.0,207.46,0.0,0.2134387351778656,0.0,10.25,186.76
2012,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,257.38,119.23,98.27,0.0,0.0,205.11,0.0,0.1944322558627077,0.0,9.41,249.88
2013,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,273.88,120.46,100.45,0.0,0.0,249.23,0.0,0.212534606588292,0.0,8.22,389.05
2014,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,288.61,120.17,112.39,0.0,0.0,287.26,0.0,0.1951194040242289,0.0,10.01,499.85
2015,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,240.5,105.46,113.02,0.0,0.0,312.57,0.0,0.0704482195988099,0.0,7.89,467.84
2016,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,287.95,134.86,120.86,0.0,0.07,306.96,0.0,0.104769351055512,0.0,10.14,441.55
2017,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,246.29,116.5,106.7,0.0,0.11,322.53,0.0,0.0712491861222211,0.0,9.87,803.14
2018,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,285.96,160.34,125.02,0.0,0.06,317.59,0.0,0.0017003054252336,0.0,13.07,513.4
2019,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,350.47,189.61,197.73,0.0,0.13,296.37,0.0,-0.1248439450686641,0.0,27.23,339.77
2020,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,362.73,176.01,212.53,0.0,0.73,355.34,0.0,-0.0746890302245735,0.0,25.5,405.01
2021,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,344.87,183.75,211.49,0.0,0.72,285.14,0.0,-0.1791751420354913,0.0,28.05,306.8
2022,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,514.06,269.56,255.13,0.0,2.21,301.66,0.0,-0.0425644765630182,0.0,36.77,298.96
2023,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,368.58,176.8,182.71,0.0,3.47,331.82,0.0,0.0168766198541376,0.0,26.1,243.01
2024,RBLNb.CO,Roblon A/S,Automobiles & Auto Parts,Consumer Discretionary,381.87,149.58,188.36,0.0,0.24,316.54,0.0,0.1380236305048335,0.0,24.32,236.87
