Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,29.34,10.68,20.14,0.0,0.01,13.46,0.0,-0.1106983655274888,0.0,0.0,12.43
2005,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,36.1,19.73,13.85,0.0,0.01,14.92,0.0,0.168230563002681,0.0,0.0,16.57
2006,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,31.21,15.09,14.74,0.0,0.0,15.26,0.0,0.09043250327654,0.0,0.0,16.03
2007,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,31.92,13.04,18.74,0.0,0.08,21.44,0.0,0.0027985074626867,0.0,0.0,28.03
2008,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,43.52,11.75,32.660000000000004,0.0,0.31,18.58,0.0,-0.0645855758880517,0.0,0.0,7.36
2009,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,34.11,7.63,25.13,0.0,0.14,18.32,0.0,0.0660480349344978,0.0,0.0,10.17
2010,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,26.19,6.81,25.5,0.0,0.04,15.34,0.0,-0.4015645371577573,0.0,0.0,10.17
2011,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,36.2,9.17,26.950000000000003,0.0,0.05,15.14,0.0,0.0019815059445177,0.0,0.0,9.51
2012,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,35.96,11.94,26.96,0.0,0.0,12.14,0.0,-0.2421746293245467,0.0,0.28,10.03
2013,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,48.03,19.78,27.24,0.0,0.0,14.57,0.0,0.0693205216197665,0.0,0.51,11.94
2014,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,47.31,22.15,26.53,0.0,0.0,13.47,0.0,-0.1017074981440233,0.0,0.38,16.06
2015,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,69.75,31.75,41.08,0.0,0.12,25.56,3.53,-0.1100034376074251,0.0,0.26,26.4
2016,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,153.65,60.2,97.37,0.0,0.77,55.93,0.0,-0.0838548185231539,0.0,0.94,76.83
2017,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,211.88,61.89,153.76,0.0,0.51,108.6,0.0,-0.0394106813996315,0.0,2.22,110.4
2018,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,247.33,68.6,185.99000000000004,0.0,0.5,129.18,18.49,-0.0525496038464144,0.0,4.74,45.42
2019,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,238.06,67.35,197.67,0.0,1.17,130.38,29.2,-0.1762752224589548,0.0,26.77,36.56
2020,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,206.37,56.07,182.06,0.0,1.08,99.78,18.62,-0.2773648648648648,0.0,34.19,48.36
2021,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,0.89,0.0,19.65,0.0,0.11,86.38,7.24,-0.2015594958342234,0.0,8.26,96.72
2022,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,0.84,0.0,14.14,0.0,0.19,19.37,0.0,-0.696437790397522,0.0,0.38,36.89
2023,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,310.43,125.86,212.66,0.0,10.239999999999998,89.96,0.0,-0.4260782570031122,0.0,39.98,132.17
2024,SAFETYb.ST,mySafety Group AB,Software & IT Services,Information Technology,325.41,117.97,222.88,0.0,13.32,92.29,0.0,-0.3116263950590526,0.0,43.44,130.27
