Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,SPGP.CO,SP Group A/S,Chemicals,Materials,782.65,590.62,158.84,0.0,14.23,127.17,8.86,0.139381018892891,0.0,0.0,167.56
2005,SPGP.CO,SP Group A/S,Chemicals,Materials,798.33,589.67,160.51,0.0,14.59,130.14,13.57,0.2335258506714918,0.0,0.0,207.61
2006,SPGP.CO,SP Group A/S,Chemicals,Materials,890.44,647.76,165.7,0.0,14.49,170.2,14.19,0.3389012419328601,0.0,0.0,346.54
2007,SPGP.CO,SP Group A/S,Chemicals,Materials,935.42,857.0,0.0,0.0,0.0,177.72,12.67,0.4118913808498343,0.0,0.0,372.39
2008,SPGP.CO,SP Group A/S,Chemicals,Materials,954.33,705.03,196.96,0.0,25.02,208.16,14.25,0.1228362034081204,0.0,0.0,110.91
2009,SPGP.CO,SP Group A/S,Chemicals,Materials,799.56,590.89,184.55,0.0,19.87,165.44,12.62,0.0238683589801187,0.0,0.0,96.8
2010,SPGP.CO,SP Group A/S,Chemicals,Materials,915.86,645.29,183.81,0.0,16.82,184.18,15.1,0.3509634684865518,0.0,0.0,178.75
2011,SPGP.CO,SP Group A/S,Chemicals,Materials,1021.96,728.84,194.29,0.0,19.89,198.86,15.1,0.3689474668162273,0.0,0.0,191.68
2012,SPGP.CO,SP Group A/S,Chemicals,Materials,1113.37,799.45,212.74,3.86,16.04,223.5,12.88,0.3765123952957097,0.0,0.0,239.09
2013,SPGP.CO,SP Group A/S,Chemicals,Materials,1154.23,812.59,227.74,4.45,14.15,272.78,9.31,0.3693856570598035,0.0,0.0,520.43
2014,SPGP.CO,SP Group A/S,Chemicals,Materials,1306.19,939.45,246.48,5.69,14.63,323.82,11.69,0.3317933891687283,0.0,0.0,539.36
2015,SPGP.CO,SP Group A/S,Chemicals,Materials,1582.92,1099.68,288.44,0.0,15.21,503.1,3.17,0.3547316649218796,0.0,0.0,1068.56
2016,SPGP.CO,SP Group A/S,Chemicals,Materials,1895.4,1314.26,330.18,0.0,14.12,522.88,1.64,0.4515366430260049,0.0,0.0,1877.32
2017,SPGP.CO,SP Group A/S,Chemicals,Materials,2363.78,1602.0,419.79,0.0,16.07,709.83,1.44,0.4582226158842635,0.0,0.0,3299.69
2018,SPGP.CO,SP Group A/S,Chemicals,Materials,2531.86,1699.94,466.28,0.0,17.17,819.57,3.12,0.4235738856677485,0.0,0.0,2984.77
2019,SPGP.CO,SP Group A/S,Chemicals,Materials,2654.67,1807.01,446.33,0.0,31.57,932.9,3.18,0.3950089735920008,0.0,0.0,3632.03
2020,SPGP.CO,SP Group A/S,Chemicals,Materials,3134.17,2131.56,494.21,0.0,43.57,1414.87,3.48,0.3277258786618255,0.0,0.0,4765.67
2021,SPGP.CO,SP Group A/S,Chemicals,Materials,3390.58,2293.24,528.68,0.0,29.36,1455.68,3.95,0.3694771962757686,0.0,0.0,7416.57
2022,SPGP.CO,SP Group A/S,Chemicals,Materials,3605.19,2420.14,540.3000000000001,0.0,0.0,1780.63,4.87,0.361103332399888,0.0,0.0,4517.96
2023,SPGP.CO,SP Group A/S,Chemicals,Materials,3991.47,2037.12,1290.73,0.0,94.73,2189.91,6.27,0.2590361445783132,0.0,0.0,4095.13
2024,SPGP.CO,SP Group A/S,Chemicals,Materials,4552.68,2126.74,1524.44,0.0,100.2,2668.79,8.92,0.299248238233416,0.0,0.0,6060.92
