Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
1995,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,86622.81,0.0,19488.7,0.0,0.0,40972.2,1539.09,1.5792066060568857,0.0,5901.45,11397.66
1996,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,76827.07,0.0,19832.85,0.0,0.0,42664.04,1582.24,1.2881132605950152,0.0,6196.25,14491.93
1997,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,79888.1,0.0,20511.38,0.0,0.0,44656.36,2203.25,1.26711938063505,0.0,6632.04,16584.99
1998,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,88852.47,42490.72,25256.58,0.0,0.0,47097.14,2493.34,0.4255891453359596,0.0,9965.58,48262.06
1999,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,88375.69,40104.22,22147.72,0.0,0.0,48076.07,1630.38,0.5255605660834761,0.0,7570.64,99144.71
2000,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,105577.01,48970.8,25346.76,0.0,0.0,70807.32,1234.26,0.4339084456504145,0.0,9160.23,90084.21
2001,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,108651.15,52663.89,28166.55,0.0,0.0,71601.29,399.86,0.3863925784518719,0.0,10195.29,96263.16
2002,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,95962.73,48164.54,35659.64,0.0,0.0,59318.47,221.07,0.2038737618732021,0.0,18332.06,61167.76
2003,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,97419.23,49640.81,27995.74,0.0,0.0,66632.56,506.16,0.2946538152648725,0.0,9607.23,72455.99
2004,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,103719.97,55288.09,26016.59,0.0,0.0,66201.93,1121.17,0.3329509484857353,0.0,9806.53,72622.98
2005,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,90847.89,52058.51,26012.03,704.82,0.0,57647.79,747.33,0.230878367918415,0.0,11434.98,69039.71
2006,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,92186.53,51255.05,24017.54,629.84,0.0,64149.78,851.26,0.2698999892924789,0.0,10116.84,72837.41
2007,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,94916.85,56488.69,28792.69,648.08,0.0,60207.07,570.07,0.1692009528582622,0.0,15070.86,59512.01
2008,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,90827.96,56865.48,25839.79,0.0,0.0,54307.33,548.51,0.1480733865345969,0.0,12093.87,39501.31
2009,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,78065.74,47688.08,21839.84,643.2,0.0,42500.03,482.7,0.2135978798926919,0.0,10061.6,32427.35
2010,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,82406.01,51632.11,15549.82,456.97,0.0,48307.19,403.41,0.3219227437149202,0.0,4086.33,47543.24
2011,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,85440.17,54533.38,15323.27,0.0,0.0,45435.31,673.87,0.3379700094428051,0.0,4461.79,28813.88
2012,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,80828.54,52032.21,14536.43,478.32,2600.86,42350.79,675.26,0.2820932899952469,0.0,3976.03,30986.77
2013,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,82482.23,52223.91,20630.31,491.94,0.0,43466.51,500.29,0.2301725392796381,0.0,9284.42,47991.09
2014,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,85345.92,52178.59,16587.84,534.82,0.0,45827.18,1509.49,0.361544443240304,0.0,4495.85,53070.56
2015,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,89804.4,53739.52,17003.8,590.35,80.5,51724.94,1200.0,0.3697865316427377,0.0,4669.11,63535.73
2016,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,91042.61,54177.87,17814.699999999997,743.05,65.02,52719.11,562.97,0.370257129601547,0.0,4681.24,73415.83
2017,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,93722.12,55468.19,17811.4,793.07,1371.54,59149.55,462.72,0.33322099628147,0.0,4599.8,102606.24
2018,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,100680.85,59116.15,18367.58,998.55,1267.39,66520.13,178.34,0.3437602091922049,0.0,4599.1,80483.75
2019,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,98990.48,58714.99,19463.37,984.49,1388.12,73105.77,-68.88,0.2794271497595256,0.0,5375.32,101629.4
2020,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,91715.69,54077.19,20685.09,1072.32,1394.02,92284.71,-167.62,0.1805496678195109,0.0,5994.28,129725.59
2021,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,103283.32,60319.74,20140.45,833.26,1168.6,106952.66,-160.18,0.2105746584403696,0.0,5578.76,128241.06
2022,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,117895.18,70444.39,19561.72,898.35,1292.0,131388.85,-314.53,0.209769694017867,0.0,5390.07,110111.36
2023,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,107183.99,69961.63,21742.52,1117.93,2121.78,122867.66,-1084.95,0.1188673663116874,0.0,6080.15,110332.01
2024,STEAV.HE,Stora Enso Oyj,Containers & Packaging,Materials,105145.82,69113.42,20985.01,894.71,2765.46,119305.14,-1765.04,0.1121033587686245,0.0,5821.42,90101.13
