Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,53.91,0.0,68.96,0.0,0.0,107.33,0.0,-0.140221746016957,0.0,0.0,318.36
2005,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,42.48,0.0,80.89999999999999,0.0,3.17,159.4,0.0,-0.2609159347553325,0.0,1.64,582.11
2006,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,50.04,0.0,83.75999999999999,0.0,7.24,169.0,9.79,-0.2290955870015101,0.0,1.44,483.31
2007,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,92.87,8.15,118.15,0.0,14.47,402.88,0.0,-0.1188939634630659,0.0,1.39,746.95
2008,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,103.6,12.4,119.9,0.0,0.0,206.53,0.0,-0.1389628625381301,0.0,0.0,90.75
2009,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,64.3,7.5,89.57,0.0,0.0,172.22,0.0,-0.1902798745790268,0.0,8.1,152.06
2010,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,53.49,5.6,88.38000000000001,0.0,0.0,118.13,0.0,-0.3427579784982647,0.0,8.87,81.72
2011,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,51.25,6.16,107.48,0.0,0.0,80.85,0.0,-0.7716759431045144,0.0,26.94,59.23
2012,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,44.13,4.6,75.0,0.0,0.0,58.62,0.0,-0.6050835892186966,0.0,10.46,78.19
2013,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,51.81,0.99,61.37,0.0,0.0,70.82,0.0,-0.148969217735103,0.0,8.47,209.25
2014,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,51.48,2.77,67.57,0.0,0.0,65.99,0.0,-0.2858008789210486,0.0,7.84,166.66
2015,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,630.33,447.47,159.76,0.0,10.42,42.33,0.0,0.2995511457595092,0.0,1.35,34.55
2016,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,573.5,405.21,156.11,0.0,5.91,235.11,25.19,0.0240875912408759,0.0,0.9,634.32
2017,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,789.47,559.66,205.78,0.0,2.93,449.74,0.37,0.0468774299615651,0.0,1.39,489.94
2018,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1064.11,769.7,273.22,0.0,3.39,513.78,0.0,0.0346451788703332,0.0,1.74,524.89
2019,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1132.06,852.72,268.56,0.0,4.01,456.27,-0.3,0.0148474680351775,0.0,15.21,551.88
2020,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1142.87,764.58,369.98,0.0,6.949999999999999,562.57,0.88,0.0024137013044633,0.0,87.33,943.97
2021,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1305.09,845.31,498.4,0.0,9.27,554.31,1.27,-0.0861982072788798,0.0,108.23,765.15
2022,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1273.65,813.53,483.88,0.0,14.03,571.52,0.0,-0.0661219204927209,0.0,109.22,367.69
2023,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1089.49,644.46,415.13,0.0,14.65,573.7,0.0,0.0265818371971413,0.0,107.6,284.35
2024,TECH.OL,Techstep ASA,Software & IT Services,Information Technology,1072.56,625.53,407.27,0.0,16.8,570.61,0.0,0.0402376404199013,0.0,113.86,471.38
