Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,60591.0,15924.0,37857.0,372.0,0.0,40122.0,3946.0,0.1629754016519923,0.0,14168.0,93654.57
2005,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,66566.0,16432.0,22276.0,401.0,0.0,46399.0,7134.0,0.5278799992527974,0.0,12131.0,110030.61
2006,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,91077.0,22605.0,51084.0,495.0,0.0,57993.0,4735.0,0.285087998979722,0.0,15241.0,191732.86
2007,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,92473.0,25965.0,51625.0,505.0,0.0,68797.0,5858.0,0.2061214921974415,0.0,14333.0,212173.46
2008,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,96167.0,25312.0,55256.0,554.0,0.0,80947.0,7621.0,0.1823796405022129,0.0,14210.0,74703.31
2009,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,90748.0,24510.0,51140.0,441.0,0.0,75976.0,9089.0,0.1826720742961265,0.0,17653.0,130771.13
2010,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,94843.0,26239.0,56578.0,0.0,0.0,87867.0,8351.0,0.1249870086678168,0.0,16622.0,152956.23
2011,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,98516.0,27541.0,87421.0,387.0,0.0,83069.0,2910.0,-0.1867781667616511,0.0,19649.0,153536.2
2012,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,101718.0,29187.0,25953.0,204.0,2385.0,73355.0,3057.0,0.5810213055541015,0.0,14402.0,170335.97
2013,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,99138.0,26575.0,51502.0,342.0,2014.0,73365.0,3672.0,0.2516842556174306,0.0,12965.0,213427.18
2014,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,111443.0,30830.0,58653.0,530.0,1803.0,63755.0,4750.0,0.3019779578132983,0.0,15438.0,221375.35
2015,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,128175.0,35147.0,68121.0,511.0,2309.0,58467.0,4660.0,0.366071570009663,0.0,18305.0,216699.44
2016,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,125395.0,32547.0,67911.0,0.0,2229.0,50879.0,4517.0,0.4099212939562423,0.0,19583.0,188497.83
2017,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,112069.0,26928.0,61230.0,512.0,2600.0,57496.0,4839.0,0.3500922435229004,0.0,19612.0,257029.21
2018,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,105923.0,23939.0,61049.0,372.0,2130.0,49446.0,5009.0,0.3521623358736571,0.0,20041.0,246469.22
2019,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,113666.0,27912.0,60745.0,280.0,4561.0,38054.0,5286.0,0.478264882325796,0.0,24527.0,227115.02
2020,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,115839.0,29037.0,65997.0,0.0,2931.0,38324.0,5594.0,0.4069857461633043,0.0,29063.0,204180.93
2021,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,97153.0,25591.0,54078.0,187.0,2485.0,26294.0,5206.0,0.4820952380952381,0.0,23247.0,193964.88
2022,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,76877.0,17819.0,43359.0,177.0,1838.0,60139.0,4237.0,0.2180626320367839,0.0,17114.0,128190.36
2023,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,80452.0,19056.0,44492.0,143.0,3410.0,64483.0,5951.0,0.1936138796603912,0.0,16535.0,163176.81
2024,TEL.OL,Telenor ASA,Telecommunications Services,Communication Services,79928.0,17731.0,44986.0,149.0,3994.0,75855.0,5917.0,0.1634544831971824,0.0,16871.0,173643.61
