Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2013,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,347.25,147.82,188.4,0.0,0.0,199.78,0.0,0.0552107318049854,0.0,16.27,
2014,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,361.46,154.71,289.05,0.0,0.0,127.98,0.0,-0.6430692295671202,0.0,110.09,
2015,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,218.37,81.65,119.93,0.0,0.54,183.92,0.0,0.0883536320139191,0.0,1.57,237.34
2016,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,170.51,62.3,89.03,0.0,0.0,186.61,0.0,0.1027812014361502,0.0,2.09,266.18
2017,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,176.69,62.34,109.5,0.0,0.64,120.16,0.0,0.0350366178428761,0.0,2.7,202.69
2018,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,198.99,73.16,131.96,0.0,0.6,348.85,0.0,-0.0192919592948258,0.0,5.33,304.76
2019,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,227.19,84.11,127.25,0.0,0.7,413.4,0.0,0.0365989356555393,0.0,8.96,424.87
2020,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,253.16,73.29,135.06,0.0,183.89,272.4,0.0,-0.5105726872246696,0.0,9.62,773.81
2021,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,275.81,96.1,149.28000000000003,0.0,0.4499999999999999,275.77,0.0,0.1087137832251513,0.0,10.61,859.4
2022,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,287.68,138.06,172.88,0.0,2.5,273.26,0.0,-0.0942691941740466,0.0,12.28,700.64
2023,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,435.39,176.64,193.1,0.0,2.49,322.77,0.0,0.1956811351736531,0.0,17.35,1033.23
2024,VISTN.OL,Vistin Pharma ASA,Pharmaceuticals,Health Care,429.09,149.97,194.24,0.0,2.47,309.53,0.0,0.2662423674603432,0.0,19.03,1050.97
