Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2004,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,23261.73,11384.12,7492.469999999999,150.61,0.0,3635.01,34.1,1.2361989692323203,0.0,186.86,6904.8
2005,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,24218.74,22209.18,191.42,0.0,0.0,4469.37,29.96,0.4040912758121767,0.0,191.42,13406.88
2006,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,26419.42,13317.15,11081.8,168.92,0.0,5515.22,0.0,0.3969723782550831,0.0,149.34,16270.53
2007,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,29692.63,14751.73,12373.29,176.24,0.0,6457.95,0.0,0.4248794121973692,0.0,162.76,11261.69
2008,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,32445.38,16833.5,13542.17,156.47,0.0,7796.87,44.22,0.2839120581449773,0.0,181.04,4213.3
2009,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,30419.28,15349.44,13602.21,132.65,0.0,6319.07,18.42,0.252510063132249,0.0,200.42,11356.48
2010,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,30312.34,9097.759999999998,19435.83,140.05,0.0,6853.35,22.41,0.2790673321930956,0.0,191.15,13763.13
2011,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,34145.99,9461.23,22937.76,156.62,0.0,7107.71,19.34,0.2670978876253146,0.0,0.0,9076.06
2012,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,14864.53,2062.01,11466.22,56.05,0.0,7383.13,24.22,0.1879687067574774,0.0,153.96,10279.72
2013,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,13610.39,1446.16,11479.42,117.13,0.0,5775.8,3.34,0.1387645912713654,0.0,135.87,10390.89
2014,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,14863.04,2542.91,11668.31,121.17,0.0,4793.32,2.71,0.1611728867417426,0.0,105.29,4734.07
2015,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,15493.94,3132.42,11780.12,141.33,0.0,5020.81,0.96,0.1439193750410714,0.0,108.23,6164.26
2016,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,15588.33,2156.71,13383.32,146.75,0.0,5120.27,0.0,0.0380936942778406,0.0,153.25,8453.27
2017,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,18602.6,3357.9500000000003,14793.07,176.34,0.0,5559.55,0.0,0.112944392981446,0.0,132.49,7692.24
2018,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,30134.16,5727.27,23921.06,0.0,0.0,10401.08,0.0,0.0467095724674743,0.0,288.04,10677.15
2019,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,33388.98,7181.86,26443.41,260.89,479.45,10438.9,0.0,-0.0435725986454509,0.0,571.0,12380.99
2020,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,32909.56,6155.13,26786.610000000004,268.08,482.54,9617.14,20.95,-0.0255901324847564,0.0,621.95,10907.22
2021,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,26948.78,6544.12,20160.77,243.88,426.79,9160.51,30.03,0.0066350834662603,0.0,325.17,9117.3
2022,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,24255.32,3341.0300000000007,20248.1,151.41,353.28,8209.18,0.0,0.0565610694368989,0.0,333.09,5444.54
2023,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,24674.22,4562.96,20305.18,125.48,809.9200000000001,8344.04,0.0,-0.1052679517356099,0.0,330.81,4686.9
2024,YIT.HE,YIT Oyj,Homebuilding & Construction Supplies,Consumer Discretionary,21147.68,5472.83,16534.7,174.29,883.0799999999999,7895.63,0.0,-0.1986719235830452,0.0,383.45,6799.29
