sigma_firm,baseline,sigma0_quarter,sigma0_half,sigma0_double,sigma0_4x,sigma0_8x,omega_half,tau_half,omega_double,tau_double,omega_4x,tau_4x,mu0_half,mu0_double,nu_quarter,nu_half,nu_double,nu_4x,betas_half,betas_3x,betas_10x,all_variance_2x,all_variance_half,sigma0_2x_nu_loose,stress_max,stress_min
0,0.017578257963450965,0.017479996942278146,0.01756516743122269,0.017515876247957328,0.017485749049985237,0.017735069983492547,0.017418729620125025,0.017493974086643927,0.017569762877520947,0.017625545937652268,0.017540377495569425,0.017742770273839727,0.017673975591190307,0.01762876218149468,0.017680832740031058,0.01749764701554173,0.01777194939354923,0.017576201765084242,0.017574165161174167,0.01759721036761988,0.01758976674994423,0.017521757638827316,0.01736568674308752,0.0175321095181983,0.017402625026016177,0.01757161293884326
1,0.041466199174631665,0.041682386316708044,0.04174685473398759,0.041626112009258115,0.0420666979642109,0.04196621108308111,0.041729851953339975,0.04186436471588737,0.041754805473590284,0.041644744379873255,0.04157653392197815,0.041461318663645476,0.04206371218628185,0.041831376722690446,0.041480843325113,0.041589368681070236,0.042084971024875836,0.04242904974654742,0.04160013561834398,0.04204527797684605,0.04187697801114475,0.04182470657023773,0.04164365472630041,0.041692647992217675,0.04154162622657684,0.041538089297801145
2,0.08971265326410813,0.08915905896454912,0.08980316694656554,0.08965201622277481,0.0901759812640349,0.09038490211006407,0.09000655337972578,0.08968463134984714,0.09065210779086248,0.08983369351493797,0.0897157100030555,0.09017535925137656,0.09002980317919623,0.09005668486044209,0.08932939518965405,0.08984293602141372,0.09034628480921929,0.09144578585195035,0.08985469820819092,0.08979859570961524,0.09009207709778824,0.09016436782543814,0.08951708073866078,0.08987475569618433,0.08990101879685176,0.08980534253209829
3,0.03326658628054013,0.03312872486514676,0.0331025756083141,0.0333120155771785,0.03329246365197402,0.03334823820040292,0.03307033066436821,0.033270591940589796,0.03338081324285204,0.0330833188569354,0.03317778110824087,0.03337602957578825,0.03314612417245823,0.032995963076833106,0.03299257779822087,0.0329208681243381,0.03329461646560235,0.03359480215372273,0.03314957914363047,0.033419637145370364,0.03319306986339784,0.03328500104201161,0.03303299588221007,0.03313615190748299,0.033208913808484425,0.033214260079588914
4,0.04568080510546372,0.04533417798174886,0.04537163587027994,0.04538624209673952,0.04534728356683656,0.04572348772683633,0.04522811431486576,0.04526351969987033,0.045623021808331304,0.045148175074453956,0.045503219724565475,0.04567705196161913,0.04558693501003987,0.04547495682234565,0.04546562217795899,0.04521182684054919,0.04576075699778823,0.04628179872313839,0.0455149247692941,0.0452485575584053,0.045517646872192695,0.045430538910383254,0.045533722243477015,0.04567335317278496,0.045429345254381144,0.04541275941356706
5,0.043451274754462664,0.04273103119918952,0.04275571608583419,0.04335097960964961,0.04337787757383401,0.04341177030695545,0.04307450777207862,0.043014362042189704,0.043184452337085316,0.04342944404932626,0.04264068618164827,0.04364529466265579,0.04311681279561478,0.04317377508778445,0.042750308525505445,0.04285169530595883,0.0437347056528015,0.04479405206613876,0.043757436568070476,0.04329513841804915,0.04349785185172015,0.043786090965860884,0.042885076894312736,0.04292287313130955,0.04326760070629759,0.043342292467922934
6,0.026171981620712586,0.026071640073016933,0.026264647450777234,0.0258714168721817,0.02600664274776636,0.026424652529755163,0.02625841790809134,0.02602516131687835,0.0263551523733492,0.02607863479430462,0.026242823274469,0.026301148345217126,0.026336073856553475,0.026248421135666798,0.025967823580904843,0.02602095927068883,0.026339105681448226,0.02656024969267457,0.026244510603680278,0.026216577651800056,0.026204589064819612,0.026338304301034038,0.026249061275641986,0.02640038914260784,0.026154067721019254,0.026315366983674465
7,0.031607130262681596,0.0317824559272353,0.03167810174156638,0.03164350756851735,0.031652599440878726,0.03167621500221558,0.03182604549448211,0.03187709366211186,0.03181508014314992,0.031929020715954486,0.031797772403593404,0.03210611158076851,0.031779735847618035,0.031724134059439316,0.031743163132674515,0.03174238505010452,0.0316614562575967,0.032054151153460185,0.032041840450098204,0.03155994983478107,0.03170943470408522,0.03176259022592897,0.031445492096035275,0.031896696191235745,0.03164817570112261,0.03169395961797161
8,0.1382424209014669,0.13712211383912884,0.1383761810851773,0.14018530966663706,0.14028066000963496,0.14021105466878783,0.14011984671488956,0.1394900107843136,0.1398691904789843,0.13965155872933002,0.14047875449010627,0.14052475485502255,0.13985290616648532,0.13961015525520984,0.13938035364675744,0.13867085736170412,0.14075456617745716,0.14357549804265143,0.14024344951484546,0.1399540202385055,0.1389503145377978,0.14040034880614627,0.138911773468913,0.1390731435142793,0.13996059635091895,0.13856258728680965
9,0.06161843732258152,0.06072689383071983,0.0612473151475949,0.0612417026344681,0.06164851132340152,0.06153315156148976,0.06155087937851851,0.06108474237267387,0.06118382097754816,0.06136860788877261,0.06195773626713565,0.06177346356158346,0.061522743412022726,0.061477223475922535,0.06152851640767556,0.06123652109086072,0.06182459853488939,0.06214256624119508,0.061313676169357255,0.06115476183469694,0.06165830930106922,0.06206989177327249,0.061245841854595626,0.0616251999454598,0.06147504066708065,0.061540144893650686
