Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,Attendo AB (publ),Healthcare Providers & Services,Other,5609.78,276.82,4724.53,0.0,567.69,-419.9,0.0,-0.09702310073827158
2011,Attendo AB (publ),Healthcare Providers & Services,Other,6295.9,291.24,5337.639999999999,0.0,662.57,-596.07,0.0,-0.0074655661247846495
2012,Attendo AB (publ),Healthcare Providers & Services,Other,6781.68,0.0,6078.67,0.0,325.72,2530.43,0.0,0.14910114091280938
2013,Attendo AB (publ),Healthcare Providers & Services,Other,7639.82,0.0,6869.9800000000005,0.0,265.34,2175.19,0.0,0.23193376210813735
2014,Attendo AB (publ),Healthcare Providers & Services,Other,8308.57,0.0,7439.59,0.0,391.32,2462.39,0.0,0.19398226925872813
2015,Attendo AB (publ),Healthcare Providers & Services,Other,9399.47,0.0,8407.029999999999,0.0,367.14,4415.45,0.0,0.1416163697924335
2016,Attendo AB (publ),Healthcare Providers & Services,Other,10027.74,0.0,8932.86,0.0,61.86,4575.64,0.0,0.2257651388658197
2017,Attendo AB (publ),Healthcare Providers & Services,Other,8692.84,0.0,7717.72,0.0,0.0,5372.47,0.0,0.18150310750920895
2018,Attendo AB (publ),Healthcare Providers & Services,Other,10288.98,0.0,8439.460000000001,0.0,111.44,5660.96,0.0,0.30702919646137733
2019,Attendo AB (publ),Healthcare Providers & Services,Other,11106.52,0.0,9403.55,0.0,54.9,5467.51,0.0,0.30142971846416394
2020,Attendo AB (publ),Healthcare Providers & Services,Other,12576.55,0.0,10550.05,0.0,60.39,5063.33,22.97,0.38655014450582936
2021,Attendo AB (publ),Healthcare Providers & Services,Other,12895.4,0.0,10748.67,0.0,39.09,4805.14,24.36,0.43640956620768184
2022,Attendo AB (publ),Healthcare Providers & Services,Other,13773.3,0.0,11765.64,0.0,627.1,4707.27,0.0,0.2932825183174111
2023,Attendo AB (publ),Healthcare Providers & Services,Other,17205.35,0.0,14214.54,0.0,805.18,5399.28,0.0,0.40480026966558463
2024,Attendo AB (publ),Healthcare Providers & Services,Other,19302.61,0.0,15852.96,0.0,886.82,5482.83,0.0,0.46742831712819866
