Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,191.8,0.0,82.26,0.0,7.53,251.9,0.0,0.40496228662167527
2005,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,244.09,0.0,91.91,0.0,9.73,300.4,0.0,0.4742010652463383
2006,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,394.24,0.0,132.48,0.0,37.47,445.1,0.0,0.503909233880027
2007,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,482.78,0.0,156.01,0.0,110.08,481.89,0.0,0.4496669364377763
2008,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,435.36,0.0,177.05,0.0,171.92,558.43,0.0,0.15470157405583515
2009,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,423.85,0.0,158.02,0.0,16.46,560.71,0.0,0.44473970501685367
2010,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,521.52,0.0,62.15,0.0,14.28,705.4,0.0,0.6309753331443153
2011,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,599.4,0.0,241.83,0.0,73.41,759.24,0.0,0.3742690058479532
2012,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,482.13,0.0,134.07,0.0,61.88,708.79,0.0,0.40375851803778273
2013,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,538.8,0.0,287.0,0.0,43.32,748.31,0.0,0.2786011145113656
2014,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,639.33,0.0,308.64,0.0,39.5,781.18,0.0,0.3727565989912697
2015,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,864.32,0.0,355.67,0.0,52.59,1178.43,0.0,0.38700644077289276
2016,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,902.42,0.0,389.84,0.0,95.25,1240.4,0.0,0.33644792002579804
2017,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,945.11,0.0,473.52,0.0,106.52,1427.92,0.0,0.2556655835060788
2018,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,982.36,0.0,506.63,0.0,114.25,1575.04,0.0,0.22950528240552623
2019,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,1110.19,0.0,529.5,0.0,80.96,1823.75,0.0,0.27401233721727214
2020,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,2404.16,0.0,655.03,0.0,81.88,3312.2,0.0,0.5033663426121612
2021,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,3308.29,0.0,754.66,0.0,106.23,4579.11,0.0,0.5344706722485374
2022,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,2824.78,0.0,855.13,0.0,139.67,4660.2,0.0,0.3926827174799365
2023,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,3420.77,0.0,1002.24,0.0,961.44,5871.45,0.0,0.2481652743359817
2024,Avanza Bank Holding AB,Investment Banking & Investment Services,Financials,3966.29,0.0,1135.99,0.0,1198.02,6497.56,0.0,0.2512143019841294
