Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2001,CellaVision AB,Healthcare Equipment & Supplies,Health Care,7.0,12.1,47.39,20.47,1.11,70.73,0.0,-0.46840096140251664
2002,CellaVision AB,Healthcare Equipment & Supplies,Health Care,11.21,14.38,44.28,17.05,1.17,38.84,0.0,-0.8128218331616889
2003,CellaVision AB,Healthcare Equipment & Supplies,Health Care,13.15,17.7,35.04,14.13,0.96,7.48,0.0,-3.5320855614973254
2004,CellaVision AB,Healthcare Equipment & Supplies,Health Care,27.38,35.48,33.97,13.13,0.2,16.58,0.0,-1.7575392038600721
2005,CellaVision AB,Healthcare Equipment & Supplies,Health Care,33.7,33.5,30.94,9.91,0.35,22.55,0.0,-0.9392461197339246
2006,CellaVision AB,Healthcare Equipment & Supplies,Health Care,47.67,39.62,35.8,13.12,0.46,16.15,0.0,-0.9343653250773992
2007,CellaVision AB,Healthcare Equipment & Supplies,Health Care,64.63,50.82,41.5,14.94,0.67,16.88,0.0,-0.7950236966824649
2008,CellaVision AB,Healthcare Equipment & Supplies,Health Care,85.91,63.2,50.36,17.68,0.59,40.89,0.0,-0.25825385179750565
2009,CellaVision AB,Healthcare Equipment & Supplies,Health Care,89.69,53.48,50.84,9.92,0.52,60.52,0.0,-0.08641771315267681
2010,CellaVision AB,Healthcare Equipment & Supplies,Health Care,110.55,74.04,61.46,14.21,2.27,98.41,0.0,-0.13220201199065146
2011,CellaVision AB,Healthcare Equipment & Supplies,Health Care,134.22,93.26,72.28999999999999,18.49,0.34,109.39,0.0,-0.12048633330286135
2012,CellaVision AB,Healthcare Equipment & Supplies,Health Care,145.68,102.2,76.78999999999999,18.42,2.04,106.93,0.0,-0.1583278780510613
2013,CellaVision AB,Healthcare Equipment & Supplies,Health Care,162.32,121.34,78.23,18.67,0.29,124.89,0.0,-0.1510929618063897
2014,CellaVision AB,Healthcare Equipment & Supplies,Health Care,199.26,131.94,93.96,20.91,0.49,145.02,0.0,-0.042890635774375976
2015,CellaVision AB,Healthcare Equipment & Supplies,Health Care,228.88,124.6,103.98,25.93,0.01,192.06,0.0,0.13651983755076533
2016,CellaVision AB,Healthcare Equipment & Supplies,Health Care,260.26,149.46,112.69,28.71,0.04,195.52,0.0,0.13696808510638295
2017,CellaVision AB,Healthcare Equipment & Supplies,Health Care,299.52,166.74,128.14,25.94,0.15,241.01,0.0,0.1262603211485
2018,CellaVision AB,Healthcare Equipment & Supplies,Health Care,341.63,175.96,149.14,36.76,0.15,283.37,0.0,0.18752867275999574
2019,CellaVision AB,Healthcare Equipment & Supplies,Health Care,429.72,232.72,195.57,52.5,1.39,326.66,0.0,0.1608400171432071
2020,CellaVision AB,Healthcare Equipment & Supplies,Health Care,482.51,324.24,207.53,52.46,2.61,448.61,0.0,0.0013151735360335008
2021,CellaVision AB,Healthcare Equipment & Supplies,Health Care,566.8,347.26,230.08,64.39,1.87,529.31,0.0,0.09820332130509526
2022,CellaVision AB,Healthcare Equipment & Supplies,Health Care,607.47,382.0,266.09,84.14,2.22,603.94,0.0,0.06838427658376665
2023,CellaVision AB,Healthcare Equipment & Supplies,Health Care,674.09,426.48,294.59,82.94,3.24,721.24,0.0,0.04536631357107209
2024,CellaVision AB,Healthcare Equipment & Supplies,Health Care,735.51,480.32,314.65,88.93,1.92,838.65,0.0,0.03285041435640616
