Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2007,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,6.87,0.0,0.06,3382.16,0.0,-0.002048986446531211
2008,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,24.44,0.0,0.18,2674.11,0.0,-0.0092068015152705
2009,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,46.99,0.0,1.56,3164.43,0.0,-0.015342415537711375
2010,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,194.07,0.0,0.41,4092.0,0.0,-0.047526881720430104
2011,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,47.67,0.0,0.08,2624.13,0.0,-0.018196507032807063
2012,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,48.54,0.0,3.46,2205.77,0.0,-0.02357453406293494
2013,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,8.04,0.0,12.96,2579.7,0.0,-0.00814048145133155
2014,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,9.59,0.0,8.03,2361.98,0.0,-0.007459843013065308
2015,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,8.22,0.0,0.0,2434.19,0.0,-0.0033768933402897887
2016,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,8.94,0.0,0.57,2247.85,0.0,-0.00423070934448473
2017,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,11.75,0.0,1.07,2387.02,0.0,-0.005370713274291795
2018,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,7.73,0.0,5.91,2385.96,0.0,-0.0057167764757162735
2019,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,3.84,0.0,21.9,2639.17,0.0,-0.009753066304936778
2020,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,10.25,0.0,39.71,3247.01,0.0,-0.0153864632384871
2021,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,11.11,0.0,56.91,3764.26,0.0,-0.01806995266001817
2022,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,12.84,0.0,94.62,5016.81,0.0,-0.02141998600704432
2023,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,13.34,0.0,154.98,4475.98,0.0,-0.037605172498536635
2024,Eastnine AB (publ),Real Estate Operations,Real Estate,0.0,0.0,15.37,0.0,171.91,5145.18,0.0,-0.03639911528848359
