Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Electrolux AB,Household Goods,Other,110711.63,83522.58,21040.08,0.0,860.73,21579.56,9.13,0.24495418665977423
2005,Electrolux AB,Household Goods,Other,86978.95,66740.78,16911.93,0.0,669.39,21982.14,0.85,0.12085935534702051
2006,Electrolux AB,Household Goods,Other,90364.94,73096.51,13419.69,0.0,649.14,12012.52,0.91,0.2663352597884207
2007,Electrolux AB,Household Goods,Other,90776.21,74077.45,12685.71,0.0,539.12,13488.77,0.84,0.25752634805602315
2008,Electrolux AB,Household Goods,Other,89630.12,74237.02,14221.32,0.0,647.47,14569.97,0.0,0.03598566091762657
2009,Electrolux AB,Household Goods,Other,89815.71,71584.6,13800.9,0.0,438.66,15244.47,0.0,0.26183593132460503
2010,Electrolux AB,Household Goods,Other,89293.77,69449.87,14382.61,0.0,382.95,17885.0,0.0,0.2839440872239311
2011,Electrolux AB,Household Goods,Other,87749.77,71548.56,13640.35,0.0,495.76,17818.39,94.58,0.11528518163096381
2012,Electrolux AB,Household Goods,Other,94530.97,75463.03,14794.04,1418.9,902.39,13426.84,35.1,0.35584841412159024
2013,Electrolux AB,Household Goods,Other,98510.82,79324.17,15532.35,1500.89,734.65,13452.6,32.04,0.32782039416699355
2014,Electrolux AB,Household Goods,Other,103012.49,84109.0,15708.66,2312.07,661.38,15752.02,32.59,0.3069774926336479
2015,Electrolux AB,Household Goods,Other,118089.51,95527.34,17915.5,2725.86,729.51,15672.29,31.4,0.42302286914731496
2016,Electrolux AB,Household Goods,Other,118908.0,94091.03,18676.81,3042.1,787.53,16792.82,28.45,0.49905447091688077
2017,Electrolux AB,Household Goods,Other,116948.12,92207.84,17863.08,3453.12,604.25,20478.22,14.01,0.4746223324645486
2018,Electrolux AB,Household Goods,Other,108127.44,89397.14,14993.8,3239.24,491.65,21213.24,10.73,0.30550787623616144
2019,Electrolux AB,Household Goods,Other,110721.78,92297.16,16440.62,3221.68,746.33,21159.3,7.5,0.21067662565905082
2020,Electrolux AB,Household Goods,Other,118682.98,95889.01,16567.1,3658.95,772.73,19529.69,7.31,0.46645288427087084
2021,Electrolux AB,Household Goods,Other,125908.28,101871.35,16844.09,3627.99,590.3,18125.48,5.85,0.5642459764396762
2022,Electrolux AB,Household Goods,Other,128155.51,111335.1,17814.260000000002,3705.56,1467.97,15477.22,6.59,0.08032519128043979
2023,Electrolux AB,Household Goods,Other,133815.92,116761.86,20242.92,3893.52,2499.14,11344.22,6.04,-0.15810034307584014
2024,Electrolux AB,Household Goods,Other,138464.21,117820.18,19995.19,3956.12,2505.88,9991.03,5.14,0.20998842556699207
