Year,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Eniro Group AB,Media & Publishing,Communication Services,4448.62,1491.13,1699.4299999999998,87.17,0.0,1716.24,0.0,0.7838239407075933
2005,Eniro Group AB,Media & Publishing,Communication Services,4240.94,1355.2,1850.98,101.92,114.01,3935.0,0.0,0.2598907242693773
2006,Eniro Group AB,Media & Publishing,Communication Services,5609.09,1633.3,3511.12,105.29,469.89,4661.88,0.0,0.0214655889898496
2007,Eniro Group AB,Media & Publishing,Communication Services,5640.79,1632.09,3675.01,153.41,497.51,3406.88,0.0,-0.003055581646550667
2008,Eniro Group AB,Media & Publishing,Communication Services,5721.2,1655.03,5057.49,152.25,592.73,1953.63,15.12,-0.727263492063492
2009,Eniro Group AB,Media & Publishing,Communication Services,5458.96,1660.82,2584.23,190.94,386.81,4945.29,2.43,0.205759420500756
2010,Eniro Group AB,Media & Publishing,Communication Services,4500.55,1328.58,3448.26,180.56,372.04,3009.9,0.0,-0.15541047875344696
2011,Eniro Group AB,Media & Publishing,Communication Services,3752.76,1020.89,3031.5699999999997,280.7,330.8,2627.42,0.0,-0.1331344056146332
2012,Eniro Group AB,Media & Publishing,Communication Services,3448.85,824.18,3066.41,281.03,248.37,3032.92,0.0,-0.13487991770307164
2013,Eniro Group AB,Media & Publishing,Communication Services,3245.46,789.7,2741.8500000000004,233.75,159.75,3390.95,64.09,-0.06138568583865893
2014,Eniro Group AB,Media & Publishing,Communication Services,2760.34,661.38,1626.8,189.23,0.0,1664.92,57.51,0.38398657710327855
2015,Eniro Group AB,Media & Publishing,Communication Services,2332.9,525.86,2308.0299999999997,216.08,134.81,1171.1,40.82,-0.3463264901973727
2016,Eniro Group AB,Media & Publishing,Communication Services,1931.51,432.06,1750.83,211.12,136.49,403.98,39.83,-0.3982560104549244
2017,Eniro Group AB,Media & Publishing,Communication Services,1596.8,398.96,1536.7600000000002,221.75,138.47,1006.65,39.03,-0.24447249636600135
2018,Eniro Group AB,Media & Publishing,Communication Services,1304.5,373.65,1195.87,134.85,87.09,349.36,38.06,-0.5607867430695368
2019,Eniro Group AB,Media & Publishing,Communication Services,986.42,374.09,863.5899999999999,96.78,66.07,-293.49,37.51,0.8615907492772873
2020,Eniro Group AB,Media & Publishing,Communication Services,902.71,340.82,778.87,74.71,51.17,177.51,36.55,-0.9036718677006441
2021,Eniro Group AB,Media & Publishing,Communication Services,829.83,99.22,421.93,0.0,4.01,78.92,12.67,3.326454853149907
2022,Eniro Group AB,Media & Publishing,Communication Services,883.63,94.06,457.97,0.0,2.85,287.09,0.94,1.141374162413637
2023,Eniro Group AB,Media & Publishing,Communication Services,955.47,96.54,568.3000000000001,0.0,2.99,270.82,1.01,1.0581613508442778
2024,Eniro Group AB,Media & Publishing,Communication Services,967.16,109.84,565.4499999999999,0.0,3.05,290.95,1.03,0.9891773409137613
